text,blanks
"Don't wait call 1800- ______ now!",1
"Got ______?",1
"Has ______ ever happened to you? Well that will happen no more when you buy ______!",2
"Hey it's Vince with ______!",1
"It's a pillow, it's a pet, it's a ______!",1
"It's my ______ and I want it now!",1
"It's not a car, it's a ______!",1
"Nobody better lay a finger on my ______.",1
"Once you ______, you can't stop.",1
"Order ______ in the next 5 minutes and get ______ absolutely FREE!",2
"Save 15% or more on ______ insurance.",1
"The next item Batman pulls from his utility belt is bat ______.",1
"Think differently about ______.",1
"Think outside the ______.",1
"We sea ______ differently.",1
"What's in your wallet?",1
"Where's the beef?",1
"______. A party game for horrible people.",1
"______. Broadcast yourself.",1
"______. I'm lovin' it!",1
"______. Just do it.",1
"______. Their GR-R-REAT!",1
