text,blanks
"""Sacred leggings"" was a mistranslation. The Sufferer actually died in Sacred ______.",1
"AG: Who needs luck when you have ______?",1
"All ______. All of it!",1
"Calliborn wants you to draw pornography of ______.",1
"Dave Strider likes ______, but only ironically.",1
"Equius beats up Eridan for ______.",1
"Feferi secretly hates ______.",1
"For his birthday, Dave gave John ______.",1
"Gamzee not only likes using his clubs for juggling and strifing, he also uses them for______.",1
"Getting a friend to read Homestuck is like ______.",1
"How do I live without ______?",1
"Hussie died on his quest bed and rose as the fully realized ______ of ______.",2
"Hussie unintentionally revealed that Homestuck will end with ______ and ______ consummating their relationship at last.",2
"I finally became Tumblr famous when I released a gifset of ______.",1
"I just found ______ in my closet it is like fucking christmas up in here.",1
"I warned you about ______, bro! I told you, dog!",1
"In the final battle, John distracts Lord English by showing him ______.",1
"John is a good boy. And he loves ______.",1
"John may not be a homosexual, but he has a serious thing for ______.",1
"Kanaya tells Karkat about ______ to cheer him up.",1
"Karkat gave our universe ______.",1
"Latula and Porrin have decided to teach Kankri about the wonders of ______.",1
"Little did they know, the key to defeating Lord English was actually ______.",1
"Nanna baked a cake for John to commemorate ______.",1
"Nepeta only likes Karkat for his ______.",1
"Porrim made Kankri a sweater to cover his ______.",1
"Problem Sleuth had a hard time investigating ______.",1
"Rose was rather disgusted when she started reading about ______.",1
"Terezi can top anyone except ______.",1
"The next thing Hussie will turn into a sex joke will be ______.",1
"The only way to beat Vriska in an eating contest is to put ______ on the table.",1
"The real reason Terezi stabbed Vriska was to punish her for ______.",1
"The secret way to achieve God Tier is to die on top of ______.",1
"The thing that made Kankri break his vow of celibacy was ______.",1
"Turns out, pre-entry prototyping with ______ was not the best idea.",1
"Vriska killed Spidermom with ______.",1
"Vriska roleplays ______ with Terezi as ______.",2
"Wear ______. Be ______.",2
"What did Jake get Dirk for his birthday?",1
"What is the worst thing that Terezi ever licked?",1
"What is your OT3? (Draw 2, play 3.)",1
"What makes your kokoro go ""doki doki""?",1
"What's in the box, Jack?",1
"When a bucket is unavailable, trolls with use ______.",1
"When Dave received ______ from his Bro for his 9th birthday, be felt a little warm inside.",1
"Whenever I see ______ on MSPARP, I disconnect immediately.",1
"where doing it man. where MAKING ______ HAPEN!",1
"Your name is JOHN EGBERT and boy do you love ______!",1
"______ makes the Homestuck fandom uncomfortable.",1
"______ stays awake at night, crying over ______.",2
"______ totally makes me question my sexuality.",1
"______. It keeps happening!",1
"______. On the roof. Now.",1
