text,blanks
"""______."" / ""What the hell, man?!"" / ""______."" / ""Oh, okay.""",2
"After eating a Devil Fruit, I now have the power of ______.",1
"And from Kyoto Animation, a show about cute girls doing ______.",1
"Anime has taught me that classic literature can always be improved by adding ______.",1
"As part of a recent promotion, Japanese KFCs are now dressing their Colonel Sanders statues up as ______.",1
"Attention, duelists: My hair is ______.",1
"Behold! My trap card, ______!",1
"By far, the most mind-bogglingly awesome thing I've ever seen in anime is ______.",1
"Don't stand behind him, if you value your ______.",1
"Fighting ______ by moonlight! Winning ______ by daylight! Never running from a real fight! She is the one named ______!",3
"I've always wanted to become a voice actor, so I could play the role of ______.",1
"If the anime industry is dying, what will be the final nail in it's coffin?______,",1
"It has been said... That there are entire forests of ______, made from the sweetest ______.",2
"It's no secret. Deep down, everybody wants to fuck ______.",1
"IT'S ______ TIME!",1
"Ladies and gentlemen, I give you ______... COVERED IN BEES!!!",1
"Madoka Kyouno's nickname for Muginami's older brother is ______.",1
"My Little Sister Can't Be ______!",1
"My love for you is like ______. BERSERKER!",1
"No matter how I look at it, it's your fault I'm not ______!",1
"That's not a squid! It's ______!",1
"The Chocolate Underground stopped the Good For You Party by capturing their ______ and exposing their leader as ______.",2
"The mo&#195;&#169; debate was surprisingly civil until someone mentioned ______.",1
"They are the prey, and we are the ______.",1
"What do otaku smell like?______,",1
"What does Alucard have nightmares about?______,",1
"What the hell is ""Juvijuvibro""?!______,",1
"Who cares about the printing press, did that medieval peasant girl just invent ______?!",1
