text,blanks
"9 out of 10 doctors agree that ______ twice daily can help increase your health!",1
"9 out of 10 doctors agree, ______ twice a day prevents cancer.",1
"A colossal disappointment.",1
"A hot new alternative medical practice involves placing ______ in ______.",2
"A little-known fact is that Microsoft Windows was originally slated to be the first operating system to include ______.",1
"A picture is worth a thousand words. So is ______.",1
"A true patriot would never take part in the act of ______, you damn commie.",1
"After last week's incident, I made sure to keep ______ in my rape kit.",1
"After the death of Fred Phelps, the Westboro Baptist Church decided to start protesting against ______.",1
"AMC's sequel to The Walking Dead, The Walking ______, was not as successful for obvious reasons.",1
"And on his farm he had ______, e-i-e-i-o!",1
"Apparently, the secret ingredient is just ______.",1
"Apple has revealed they now have a patent for ______.",1
"Ask your doctor if ______ is right for you.",1
"At the stroke of midnight, Cinderella's carriage turned back into ______.",1
"Back in my day, the only way to have fun was ______.",1
"Back in my day, ______ only cost a quarter.",1
"Bobby and Susie sitting in a tree, K-I-S-S-I-N-G. First comes love, then comes marriage, then comes ______.",1
"Check your privilege. And ______.",1
"Choosy moms choose ______.",1
"Confucius say: ""______ is worth more than ______.""",2
"Congress finally approved The ______ Act. A law that allows ______.",2
"Corperations hate her! See how this stay-at-home mom makes $500 every day by just ______!",1
"Critics are raving about Tyler Perry's new film, ""Madea Tries ______.""",1
"Daddy drinks because of ______.",1
"Damn it feels good to be ______.",1
"Danger! ______ ahead!",1
"Dante & Virgil entered the 10th circle of hell, where sinners were condemned to an eternity of ______.",1
"Disney presents ______ On Ice!",1
"Every ______ should be required to get a tattoo of ______.",2
"Everyone knows ______ makes you immortal.",1
"For just pennies a day you can give the needy Third World children ______.",1
"Genius is 10% inspiration and 90% ______.",1
"Go-go Gadget ______.",1
"Grandma always said ______ was the best medicine for hangovers.",1
"Grocery List: bread, milk, eggs, water, ______, and chips.",1
"Groundbreaking research provides convincing evidence that ______ killed the dinosaurs.",1
"Hannukkah was ruined last year due to ______.",1
"Hey Rocky, watch me pull ______ out of my ______!",2
"I am the genie of the lamp. I will grant you three wishes. What will they be?",1
"I can drive and ______ at the same time.",1
"I feel the need&acirc;&euro;&rdquo;the need for ______.",1
"I feel the need&acirc;&euro;&rdquo;the need for&Acirc; ______.",1
"I got ______! Ain't nobody got time fo dat!",1
"I like to keep ______ as a souvenir of my sexual encounters.",1
"I live my life according to the teachings of ______.",1
"I love the smell of ______ in the morning.",1
"I might be a ______, but at least I'm no ______.",2
"I only have one requirement for dating my daughter: You must be knowledgeable in ______.",1
"I plan to spend this Valentine's Day with ______.",1
"I really hate ______ at work. I take care of it with ______.",2
"I sleep like a baby after bathing in a tub full of ______.",1
"I started putting ______ in the church collection tray every Sunday, just for funsies.",1
"I was into ______ before it was cool.",1
"I will not eat them Sam-I-Am. I will not eat ______.",1
"I work out so I can look good when I'm ______.",1
"I'm having trouble finding a college which will allow me to pursue a degree in ______.",1
"I'm sorry, but we don't allow ______ in the country club.",1
"I've got the fever and the only cure is more ______.",1
"If a pot of gold is at the end of the rainbow, what's at the other end?",1
"If a pot of gold is on one end of a rainbow, what is on the other end?",1
"If I don't enjoy ______, then the terrorists win.",1
"If you had a Deathnote, who's the first to die?",1
"In Nintendo's new game, you must fight off wave after wave of ______ in order to save ______.",2
"In the grim darkness of the future there is only ______.",1
"In the new tenth circle of Hell, sinners will be condemned to an eternity of ______.",1
"Instead of endorsing Jell-O Pudding Pops, Bill Cosby should have endorsed ______.",1
"Instead of the Jews, Hitler should have worried more about ______.",1
"Iron Chef: Today's secret ingredient is ______.",1
"It is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to ______.",1
"It is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to&Acirc; ______.",1
"It is often argued that our ancestors would have never evolved without the aid of ______.",1
"It rubs ______ on its skin or else it gets ______ again.",2
"It sucks when you look in the fridge, and all you have to eat is ______.",1
"It was more uncomfortable than ______ at a ______ convention.",2
"Jesus is ______.",1
"Keep your friends close, but your ______ closer.",1
"Kissing ______ to transform it into ______.",2
"Loving you is easy 'cause you're ______.",1
"Marvel's making millions with their new superhero, ______-man!",1
"Maybe she's born with it, maybe it's ______.",1
"Men hate it when I practice ______ on them.",1
"Mister Owl, how many licks does it take to get to the center of ______?",1
"My favorite part of my yearly physical is ______.",1
"My Little Pony: Friendship is ______.",1
"My mission in life is to create a videogame about ______.",1
"New car sticker craze: Calvin pissing on ______.",1
"Next on Oprah, teens addicted to ______.",1
"No book collection would be complete without ______ for dummies.",1
"Nobody puts ______ in a corner.",1
"Noone is so old as to have outgrown ______.",1
"Nothing beats cuddling with ______ in bed.",1
"Nothing feels better than ______ on ______.",2
"Now witness the firepower of this fully armed and operational ______!",1
"On the 8th day, God created ______, and saw that it was good.",1
"On the next episode of My Strange Addiction, ""I'm addicted to ______"".",1
"On the next on Yo MTV Raps!: an intense rap battle between ______ and ______.",2
"On tonight's episode of Face Off contestants must design a creature incorporating ______, ______, ______, and ______.",4
"Our most powerful weapon on the day of the zombie apocalypse will be ______.",1
"Profesor X recruited you for the X-Men because of your mutant power of ______.",1
"Quentin Tarantino's new film has sparked controversy for its violent portrayal of ______.",1
"Real men don't eat ______.",1
