text,blanks
"Besides sabermetrics, what else is keeping the Athletics competitive year after year?",1
"Clayton Kershaw has renamed his curveball ______",1
"Derek Jeter has been knows to give ______ to his one night stands.",1
"During his no hitter Doc Ellis was actually on a combination of LSD and ______",1
"In an effort to appease sensitive baseball fans, the Cleveland Indians will now be known as the Cleveland ______",1
"In protest of a poor call, Braves fans threw ______ onto the field.",1
"It was a case of ""Manny being ______""",1
"Jim Joyce blew Gallarraga's perfect game because he was busy thinking about ______",1
"New rules in 2014 protect ______ from ruining our National Pastime",1
"Only ______ is more charming than Fenway Park",1
"Pete Rose will finally get into the Hall of Fame when it is revealed that his gambling was all an elaborate cover for ______",1
"St. Louis Cardinal fans claim they have the best ______ in baseball.",1
"The Chicago Cubs will finally win another World Series once they break the long-forgotten Curse of ______",1
"The Dodgers dropped down to the lowest payroll in baseball after purchasing ______",1
"The key to pitching into your 40's is ______",1
"The Red Sox have renamed the Pesky Pole as the ______ Pole",1
"The resin bag at PNC park has now been replaced by ______",1
"The World Series Champions gave ______ as a gift to president Obama during their ceremonial visit",1
"The Yankees now allow facial hair, but will instead crack down on ______ in the clubhouse.",1
"What did Manny really go to find when he went into the Green Monster in the middle of that game?",1
"What is Yasiel Puig's secret?",1
"What was the real secret to Dock Ellis' no hitter in 1970?",1
"______ and ______ are the new toppings on the hot dogs at Miller Park.",2
"______ does more cocaine than the 1985 Pittsburgh Pirates",1
"______ weighs more than Pablo Sandoval in the off-season?",1
"______ will happen before The Chicago Cubs win the World Series",1
