text,blanks
"All hell broke loose on deviantart when ______ change their name to ______.",2
"Enjoy the ______, Fuckers!",1
"Everyone laughed when the White Card ______ was submitted.",1
"Everyone went silent when ______ did ______ in the RP.",2
"Guys, I have an important question. ______?",1
"Hey guys, not to spoil this, but ______.",1
"I couldn't go to bed because ______ was happening in the Skype call.",1
"I hate it when people keep posting ______.",1
"I joined the Skype call while everyone was talking about ______.",1
"Meti ended the campaign on a dark note when ______ killed ______.",2
"Posting NSFW pictures of ______ and ______.",2
"Roll a D20 for a ______ check.",1
"Someone called Eillah ______.",1
"What does the fox say?",1
"______ ate breadsticks in front of ______ because it was funny.",2
"______ rustled ______'s jimmies with ______.",3
"______ set off the Landmine.",1
"______ should totally be the voice of ______.",2
"______ swore a blood oath because they did ______.",2
"______ was a Changeling the whole time.",1
"______'s life was complete when they were shipped with ______.",2
