text,blanks
"And this stain was from when my kid got into ______.",1
"As a modern parent, I will not spank my child. Instead, I will use ______.",1
"As long as you live under this roof, you will respect ______.",1
"Baby's asleep! Now I can finally work on ______.",1
"Baby's first word: ______!",1
"I can tell you're a parent by the ______ on your shirt.",1
"I hope my kid grows up to be ______.",1
"I just found ______. Of course I found it in ______.",2
"I'm sorry, my child is allergic to ______.",1
"I'm worried about the negative influence of ______ in my child's life.",1
"If my baby ends up liking the things I eat most when I'm pregnant, my baby is going to love ______.",1
"It wasn't comfortable holding my kid down while he got his first ______.",1
"My baby's first words were ' ______ ' .",1
"My doctor understands the healing power of ______.",1
"My life is forever changed, now that my kid has brought ______ into my life.",1
"No no! We don't put ______ in the mouth!",1
"What does the doggie say?",1
"What exactly did that diaper smell like?",1
"______. Now I can pay for college!",1
