text,blanks
"A true gamer has no problem with ______.",1
"Alightment: Chaotic ______",1
"Alignment: Chaotic ______.",1
"Back when I was 12 and I was just starting playing D&D, the game had ______.",1
"Big Eyes, Small ______.",1
"D&D 4.0 isn't real D&D because of the ______.",1
"Dnd 4.0 isn&rsquo;t real dnd because of the ______.",1
"Elminster cast a potent ______ spell and then had sex with ______.",2
"In the grim darkness of the future there is only ______.",1
"It's a D&D retroclone with ______ added.",1
"It&rsquo;s a D&D retroclone with ______ added.",1
"Linear Fighter, Quadratic ______.",1
"My innovative new RPG has a stat for ______.",1
"Pathfinder is basically D&D ______ Edition.",1
"People are wondering why Steve Jackson published GURPS ______.",1
"Storygames aren&rsquo;t RPGs because of the ______.",1
"Storygames aren't RPGs because of the ______.",1
"The Deck of Many ______.",1
"The portal leads to the quasi-elemental plane of ______.",1
"The Slayer's Guide to ______.",1
"The Slayer&rsquo;s Guide to ______.",1
"The Temple of Elemental ______.",1
"What made the paladin fall? ______",1
"Worst character concept ever: ______, but with ______.",2
"You are all at a tavern when ______ approach you.",1
"You start with 1d4 ______ points.",1
"______ : The Storytelling Game.",1
