text,blanks
"I checked with Compliance and Risk Management, ______ isn't a HIPPA violation.",1
"It had been in the break room for hours, but I was hungry so I ate ______ anyways.",1
"On a scale of one to ten how do you feel?",1
"On a scale of ______to ______ how do you feel?",2
"Seems that you have an adverse allergic reaction to ______.",1
"The patient had ______ lodged in his rectum.",1
"The pt. has a diagnosis of ______ and a history of ______.",2
"The pt. reports having an allergy to ______.",1
"The tumor was likely caused by exposure to ______.",1
"Thoughts I have while a patient tells me their life story.",1
"Turns out there is an ICD10 code for ______.",1
"When I turned  my patient I found ______.",1
"When I went into the isolation room, I forgot to bring ______.",1
"______ is a billable item but ______ is not.",2
"______ is required in order to meet Meaningful Use.",1
