text,blanks
"16 people. 39 days of ______. One Survivor.",1
"A recent laboratory study shows that undergraduates have 50% less sex after being exposed to ______.",1
"A shocking new poll reveals 96% of Americans support ______.",1
"A successful job interview begins with a firm handshake and ends with ______.",1
"After years of ______, my wife is finally divorcing me.",1
"Against the advice of health officials, Donald Trump recommended ______ as a cure for Coronavirus.",1
"Ahhhhhh. I deserve this. No interruptions, no conference calls, just ______ all day.",1
"All classes today are cancelled due to ______.",1
"Alternative medicine is now embracing the curative powers of ______.",1
"Amazon says that if I like ______, I will also like ______.",2
"America is #1 in ______!",1
"And if I only had one wish come true this year, It'd be for all the poor children of this world to have ______.",1
"Are you fucking kidding me? ______? On our anniversary?",1
"As a country, we need to ensure that single moms don't have to choose between ______ and getting treatment for COVID-19.",1
"As a kid, going to see grandma and grandpa meant having to sit through ______, whether we wanted to or not.",1
"As you get older, you might lose your sense of childlike wonder. But no one ever outgrows ______.",1
"As your healthcare provider, I urge you to take some time for ______ each day.",1
"Behold the Four Horsemen of the Apocalypse! War, Famine, Death, and ______.",1
"Best you go back where you came from, now. We don't take too kindly to ______ in these parts.",1
"Billy, put that down! You know ______ is exactly how you catch Coronavirus!",1
"Bitch, you look nasty. You look disgusting. You look like you're ______. Go home, bitch.",1
"Brandon, you need to leave your room for once. You're spending too much time with ______ for a boy your age.",1
"But mooooom! I don't want ______ for dinner again!",1
"Call me a bad parent, but the only way I can get my toddler to calm down is with ______.",1
"Calm down, calm down, there's plenty of ______ to go around. Nobody's going to miss out.",1
"Can't you see? The Jews are behind everything: the banks, the media, even ______!",1
"CNN breaking news! Scientists discover ______.",1
"Congratulations! You've won an all expenses paid trip to ______. Have fun, and don't forget to pack ______!",2
"Do you suffer from ______? Find instant relief with ______!",2
"Do you think you can stop ______? Do you want to bet your life on that?",1
"Don't let ______ ruin ______. Seek help.",2
"Dude, do not go in that bathroom. There's ______ in there.",1
"Due to Coronavirus, Walmart no longer offers ______.",1
"Due to COVID-19, ______ has hereby been cancelled.",1
"During the Coronavirus crisis, my dad got really into ______.",1
"Everyone, stop! ______ is not who we are! We are a nation of ______.",2
"Extra, extra, read all about it! ______ is sweeping the nation!",1
"Federal law prohibits ______ on planes. Keep your seatbelt fastened at all times while the ______ sign is on. Keep your tray locked and in its upright position, and enjoy ______.",3
"Few people know that ______ was created right here in my laboratory.",1
"Finally! A service that delivers ______ right to your door.",1
"For family game night, my husband brought out ______. It was the most fun the kids have had in years!",1
"For her last day on earth, the Make-A-Wish Foundation gave Katie ______.",1
"FOR SALE: ______. Only used once.",1
