text,blanks
"A healthy long-term sex life is built on ______.",1
"Along with something borrowed and something blue, be sure to take ______ with you down the aisle.",1
"Being married means having the freedom to embrace ______.",1
"Between the champagne toast and the cake-cutting, there was ______.",1
"Consider including ______ in your vows.",1
"Every wedding toast should include at least one mention of ______.",1
"First comes love, then comes marriage, then comes ______.",1
"How did you celebrate your first anniversary?",1
"If you like it, then you should put ______ on it.",1
"In a committed adult relationship, ______ goes a long way.",1
"In a marriage, whatever the question is, the answer is always ______.",1
"Instead of a garter toss, try ______.",1
"It&rsquo;s not ______ that puts strain on a relationship, it&rsquo;s ______.",2
"It&rsquo;s trendy to include ______ in your wedding these days.",1
"Love is patient, love is kind. Love is ______.",1
"Make sure you have ______ and the rest will take care of itself.",1
"Marriage is a lot of work, which mainly consists of ______.",1
"Marriage: the end of ______ and the beginning of ______.",2
"Nothing gets a wedding reception fired up like ______.",1
"Nothing says &acirc;&euro;&oelig;fulfilling life-long commitment&acirc;&euro;ù like ______.",1
"She&rsquo;s not just my wife. She&rsquo;s also ______.",1
"Studies show that married people are much more likely than single people to have ______.",1
"The ceremony ended with ______.",1
"The couple has a wonderful life filled with ______ ahead of them.",1
"The first five years are the hardest. After that, it&rsquo;s all ______.",1
"The first issue the couple tackles in marriage counseling will be ______.",1
"The only thing worse than ______ at a wedding is ______.",2
"The proposal featured ______.",1
"The wedding cake was shaped like ______.",1
"The word &acirc;&euro;&oelig;husband&acirc;&euro;ù comes from the Latin word for ______.",1
"Their first fight as a married couple was about ______.",1
"There&rsquo;s nothing more romantic than ______.",1
"True love means ______.",1
"What did the rehearsal dinner taste like?",1
"What saved your marriage?",1
"What should every couple incorporate into their first dance?",1
"What the fuck is your problem?",1
"What unique detail did the bride&rsquo;s dress include?",1
"What was the happiest memory from the honeymoon?",1
"What was your favorite wedding photo of?",1
"What will be the best thing about the couple&rsquo;s married sex life?",1
"What will the groom think of when he first sees the bride on their wedding day?",1
"What's the most common obstacle to consummating a marriage on one's wedding night?",1
"What&rsquo;s a favorite pastime of the family you&rsquo;re marrying into?",1
"What&rsquo;s a sure sign of a healthy marriage?",1
"What&rsquo;s the #1 cause of wedding day jitters?",1
"What&rsquo;s the best way to spice up your marriage after years of monotony?",1
"What&rsquo;s the couple&rsquo;s favorite shared hobby?",1
"What&rsquo;s the groom hiding in his underwear?",1
"What&rsquo;s the only thing sexier than confidence?",1
"What&rsquo;s the secret to a long and happy marriage?",1
"______ doesn&rsquo;t count as cheating.",1
"______. A sure-fire cure for the seven-year itch.",1
"______. A wedding gift you&rsquo;ll cherish forever.",1
"______: grounds for divorce in all 50 states.",1
