text,blanks
"According to Professor Farnsworth's Smell-O-Scope, you're secretly made from ______.",1
"After last week's ritual sacrifice, the High Priest slipped ______ in my doggie bag.",1
"After the zombie apocalypse, we were so hungry we made soup from ______.",1
"All these worlds are yours, except ______.",1
"Bigger than a breadbox, smaller than ______.",1
"Budweiser! The King of ______.",1
"Captain Crunch was dishonorably discharged for his secret ______.",1
"Cometh the Singularity, we'll all be trading in ______.",1
"Cthulhu feeds off my madness and my ______.",1
"Damn you, ______, for your sudden but inevitable betrayal!",1
"District 9 Cat Food! Now available in ______ flavor.",1
"Don't feed them ______ after midnight.",1
"Down and Out in the Magic ______.",1
"Elon Musk's Mars colony went insane, after someone slipped ______ in the water supply.",1
"Even Andrew Zimmern wouldn't eat ______.",1
"Frosted ______. They're Grrrrreat!",1
"Hours of energy. No ______ later.",1
"Huitlacoche, the demon corn of ______.",1
"I feed my spice weasel ______.",1
"I keep my Jackalopes ready for combat with a steady diet of ______.",1
"I learned to love erotic fanfic after I read the heartwarming pairing of ______ and ______.",2
"I love the texture of ______ in my mouth.",1
"I season my zombie jerky with ______.",1
"I spent three weeks trapped in a dungeon crawl, and all I got was some canned food I found inside a dead Gelatinous Cube, and ______.",1
"I summon the devil in my deviled eggs with ______.",1
"I would do ______ for a Klondike bar.",1
"I would've gotten away with it, if not for ______, ______, and those darn kids!",2
"I'd go back inside the Matrix for a taste of ______.",1
"I'd rather eat crow than eat ______.",1
"If you don't cut your food into octagons, President Roslin will throw you out the airlock, or make you eat a ______.",1
"If you like hearts, stars, and clovers, you'll love the new Lucky Charms marshmallow ______.",1
"In the alternate universe where ______ tastes like ______, then ______.",3
"Life is like a box of chocolates. You never know when you'll get ______.",1
"Lose the ______, not the taste.",1
"Mentos! The ______ maker!",1
"Miracle Max's Chocolate Covered ______.",1
"Miskatonic University's famous cafeteria calamari is secretly made from ______.",1
"My corner Asian market now stocks live octopus, alien xenomorphs, and ______.",1
"My cream filling is 100% pure ______.",1
"My favorite jellybean flavor is ______.",1
"My fortune cookie says I can expect a ______ in bed.",1
"My name is Inigo Montoya. You killed my ______. Prepare to die.",1
"No, honest. I never told the replicator to make me ______.",1
"Nuclear apocalypse survivor jerky has a half-life longer than ______.",1
"On this week's episode of Man vs. Food, Adam eats a ______.",1
"On top of spaghetti, all covered with cheese, I lost my poor ______, when somebody sneezed.",1
"Our tribute won the Hunger Games by the cunning use of a ______.",1
"Pepperidge Farms remembers ______.",1
"Pop rocks in your ______.",1
"Ray, when someone asks you if you're a god, you say ______!",1
"Red Bull gives you ______.",1
"Remember to coat the prisoner in ______ before feeding him to the Sarlacc.",1
"Rory's bachelor party took a dark turn, when a ______ exploded from his comically oversized cake, instead of a stripper.",1
"Soylent Green is really made from ______.",1
"Super Vegan Powers activate! Form of ______! Shape of ______!",2
"That time I ate ______ and twelve hours later a xenomorph burst from my chest.",1
"That's not a moon! It's a ______!",1
"The best justification for cannibalism.",1
"The best thing about hosting a party on the Holodeck is ______.",1
"The cake is a ______.",1
"The latest Steampunk Goggles are made from brass, leather, and ______.",1
"The most disturbing thing on Batman's Utility Belt.",1
"The only thing Nikola Tesla loved more than pigeons.",1
"The only thing worse than Vogon poetry is ______.",1
"The real secret behind Patrick Stewart's immortality is a steady diet of ______.",1
"The real secret ingredient in Dibbler's pies is ______.",1
"The scariest thing about sleeping with an alien is the ______.",1
"The secret ingredient in Ding Dongs' cream filling is really ______.",1
"The ______ mostly come out at night. Mostly.",1
"There can be only ONE ______.",1
"There's only one thing that smells like bacon, and that's ______.",1
"They say everything tastes just like chicken, except for Graboids, which taste just like ______.",1
"This is your brain. This is your brain on ______.",1
"This week on Drunk History, Dolly Madison eats a ______.",1
"This week, the Doctor and ______ visit a planet where the locals eat nothing but ______.",2
"This ______ is so over-cooked, it ______.",2
"Tonight, Hannibal Lecter will be serving ______.",1
"Tribble-kabobs are best served with ______.",1
"We found ______ in Grandma's fridge, and it was still good.",1
"When Sunnydale High School students snort staked vampire dust, they hallucinate ______.",1
"When you have the munchies so bad you eat ______.",1
"Who ya gonna call? ______.",1
"Winter is coming, and so is ______.",1
"Would you eat it in a ______? Would you eat it with a ______?",2
"You used so much ______ it ______-ed.",2
"Zombie, Pirate, Robot, ______.",1
"______ and ______. Two great tastes that taste great together.",2
"______ instigates a celestial war between Angel Food and Deviled Eggs.",1
"______ is taking a bite out of crime.",1
"______ melts in your mouth, not in your hand.",1
"______ on my ______ looks like Jesus.",2
"______ puts the ""can"" in ""cannibal"".",1
"______ tastes so great, cats ask for it by name!",1
"______! Taste the rainbow!",1
"______, Crayola's new edible flavor.",1
"______, it's the new super-food!",1
"______, it's white people food!",1
"______. It does a body good.",1
"______. It's what's for dinner!",1
"______. Tastes great, less filling.",1
"______. The other, other, other white meat.",1
"______. Try it. You'll like it.",1
"______; Hell is a buttery place.",1
"______? Grab a Snickers!",1
