text,blanks
"""Lana, I'm in love with you."" ""You're also ______."" ""I can be both.""",1
"""Sir, that stolen lemur bit one of your prostitutes right in the face. And she says she can't go to a hospital because she's, I quote, ""______"".""",1
"""What does Mallory like? ______ and ______ and liquor.""",2
"""What's wrong with her?"" ______. ""Gross.""",1
"After eating cocaine yogurt, cupcakes, donuts, whipped cream, and pudding, Pam is now eating cocaine ______.",1
"And I'm just glad I have an erection that didn't involve ______.",1
"Aw, but look at him. All tied up like a sexy little Christmas ______.",1
"Come on, it's an album cover, not ______! You got to sex that shit up sexy.",1
"Do you really want to open this can of trust-breachy worms right after I just caught you and my ex-boyfriend with ______ in the trunk?",1
"Do you want ______? Because that how you get them!",1
"Don'&trade;t blame me, it'&trade;s those new low-flow toilets! With the old ones, you could flush ______. I mean, not that you would.",1
"For God's sake woman, are you hearing yourself? He's your son, not ______.",1
"Ha! I'll outlast you. I'm naked and I've got half a lime and almost, nearly two thirds of a half gallon of ______.",1
"Holy shit, ______ is amazing! Why have I never tried it before?!",1
"I am commandeering this ______!",1
"I don't care who you are, when you get zapped with 50,000 volts, it's like, like ______.",1
"I find one single dog hair when I get back, I'll rub...______...in your dead little eyes.",1
"I just started testing ______ on humans by dosing Danny the Intern's coffee.",1
"I just want to go on record as saying that ______ on the penthouse balcony is the absolute worst idea that I have ever heard in my entire goddamn life.",1
"I mean if I don't get some ______ I could literally die.",1
"I swear to god, you could drown ______ in my panties right now! ... Not that you would.",1
"I want to know how and why you are drunk at 6:00 AM. ______",1
"I will be on my tour bus putting ______ and glue inside me.",1
"I'm going to die by ______, just like Cheryl's gypsy woman said!",1
"I'm going to go watch ______ and masturbate until my fingers bleed.",1
"I'm sorry - I can't hear you over the sound of ______!",1
"I'm talking about ______. From the Greek for, like, ______!",2
"I've seen the end of that movie, and spoiler alert! It ends with ______.",1
"In addition to sushi, booze, and soft cheeses, I'm also supposed to abstain from ______!",1
"It has to be your place. Mine totally reeks of ______.",1
"Like you'd recognize a vegetable that wasn't wrapped inside of ______.",1
"Mom always said, ""Sterling, come in here and check me for ______."" Holy shit, was that out loud?",1
"My girlfriend's not equal parts the Internet, a tube of Kentucky jelly, self-loathing and ______.",1
"Oh right, I forgot, your dick's full of ______ and ______ coupons.",2
"Oh, dear God. Telephone clanging away, and me trapped. It's a good servant's worst nightmare. How could this possibly get worse? ______",1
"People who like you because you have ______ aren't people you want as friends!",1
"She wasn't too smart to die from eating ______, was she?",1
"So I get to go to the French Riviera on the ISIS dime. To do what exactly? ______",1
"Stabbing ______ into your brain so you don't wind up giving blow jobs in a bus station toilet for cocaine.",1
"Surveillance, which is apparently French for ______.",1
"The amount of ______ I would need to have sex with you would literally kill me.",1
"The truth is that your seemingly effeminate brother is, in fact, ______.",1
"There's not enough liquor and therapy in the world to undo ______.",1
"They're fingers, Pam. Not ______.",1
"We put you in the freezer so we could unfreeze you in the future, once medical science had developed a cure for ______.",1
"We're kind of like the A-Team, but we sell ______.",1
"Well, you threatened to shove ______ up his dick hole. Which, again, ick.",1
"What would Lana do? ______",1
"What's in the suitcase, Ron? ______",1
"What... umm... is in the Italian Prime Minister's ass? ______",1
"What...uh...are you snorting off me? ______",1
"Whoa. So my whole life, all I ever had to do was believe in myself? And inject ______ into my brain?",1
"WOODHOUSE! Do we have any lube? Like at this point even some ______ would help.",1
"You could drown ______ in my panties.",1
"You didn't think it was weird that your chemo drugs were ______?",1
"You hear 'beanbag', and you think Beanie Baby, not ______.",1
"You killed ______. That's like killing a unicorn.",1
"You really spent your entire inheritance on ______?",1
"You're not my supervisor! Wait, who is my supervisor? ______",1
"______ comes from Mexicans? Oh my God, what's ______ made from?!",2
"______ is like 95% of what I do.",1
"______ is the reason I don't have sex with my co-workers. That...and no one ever lets me.",1
"______! Now that's the song you should write!",1
"______? In a Margarita? What is this, Auschwitz?",1
