text,blanks
"A game where you ______ to make the boss ______.",2
"After being born, the baby quickly began to ______.",1
"All I wanted for most of my pregnancy was ______.",1
"And so the ______ fell in love with the ______.",2
"Eenie meenie miney mo, catch the tiger by its ______.",1
"Finding out your child has a terrible case of ______.",1
"Get rid of your shit cards.",2
"Go ______ yourself.",1
"Guys, as long as the food is ______, it's healthy.",1
"How you feel, right now, about the forced marriage of unborn fetuses.",2
"I can't wait for ______ to be over.",1
"I have nightmares that my child's first words will be ""______"".",1
"I thought my child's father was ______, but he was really ______.",2
"I wish I'd known about ______ before I got pregnant.",1
"If we legalize gay marriage, will the homosexuals start demanding ______ next?",1
"If we legalize straight marriage, will the heterosexuals start demanding ______ next?",1
"My dad works at ______, so I have the limited edition ______.",2
"Not even ______ could stop me from getting pregnant.",1
"Oh, no! My ______ has stopped working!",1
"She insists on having ______ in the delivery room.",1
"The next reality show: ______ in mundane situations.",1
"The next shitty movie plot: ______ finds ______.",2
"The worst gift I got at my baby shower was ______.",1
"Why didn't the chicken cross the road?",2
"Your internet has cut out. What do you do?",2
