text,blanks
"Armed with only ______ and wicked cunning, our contestant must escape ______!",2
"Dude, what's stuck up your ass?",1
"His palms are ______, Knees weak, arms are ______, There's ______ on his sweater already, Mom's spaghetti.",3
"I'll tell you what I'm gonna give you, Snakes. ______!",1
"If for some reason I start ______, I will completely understand if you react by ______.",2
"If I have to deal with ______ one more time, I will kill each and every one of you!",1
"Maybe if you were ______ less and ______ more, you wouldn't suck so much.",2
"Once I started ______, it was all downhill from there.",1
"The first step to being as awesome as I am is ______.",1
"The Gift of ______ always sends them home happy.",1
"What are my three biggest fears?",1
"What makes my dick rock hard?",1
"What would make me just give up on life?",1
"What would make me more likeable?",1
"What would make my life more interesting?",1
"When I need to make a good first impression, I usually emphasize ______.",1
"You're good, kid, real good. But as long as I'm ______, you'll always be second best, see?",1
"______ was bad enough, but then I had to deal with ______!",2
