text,blanks
"12 inches of ______.",1
"After much consideration, I decided to get a tattoo of ______",1
"And then I said, ______, are you CRAZY?",1
"Beep Beep. I'm ______",1
"Brace yourselves, ______ is coming.",1
"B] ______ requested Princess Twilight to kill ______.",2
"CARD DUMP! (save your god cards!)",1
"Cards Against ______.",1
"Celestia's bedchamber name for ______ is ______.",2
"Every time you masturbate, Chuck Norris kills ______.",1
"Everypony loves ______.",1
"Granny Smith's most cherished memory during her long life was experiencing ______.",1
"I kissed a ______ and I liked it!",1
"If you're going to draw a picture of ______, you really need to emphasize ______.",2
"Is ______ an instrument?",1
"It made me mad when I realized nobody recorded ______ doing ______.",2
"It must be nice to have a job where you can do ______ all night.",1
"It's ______ Time!",1
"Keep Calm and ______.",1
"Luna enjoys using ______ on ______.",2
"Luna was shocked to find ______ eating ______.",2
"Lyra discovered the secret behind anthropology when she saw ______",1
"My Little ______.",1
"My milkshake brings ______.",1
"Never drink ______ after ______.",2
"Next season of My Little Pony: Friendship is Magic, there will be an episode about ______.",1
"Oh no! ______! My only weakness!",1
"One good ______ deserves another.",1
"Only time will tell if ______ should be used on ______.",2
"Pink Fluffy Unicorns Dancing on ______.",1
"Pink Fluffy ______ Dancing on ______.",2
"Pinkie Pie enjoys going on a murderous rampage while singing ______.",1
"Rainbow Dash Presents: ______.",1
"That's right, I was banned from #EquestriaDaily. How you ask? ______.",1
"The god card for this black card is ______.",1
"The Great and Powerful ______.",1
"The next episode of MLP will be about ______.",1
"The Pony of the Day is ______.",1
"There needs to be Ask ______ Tumblr.",1
"This Card Czar has ______ up their ass.",1
"This Card Czar likes ______.",1
"This month&rsquo;s fad is ______.",1
"This porn is terrible! Why is ______ doing ______?",2
"Today we are going to get ______ and fly them to ______.",2
"Today's guest on Elements of Harmony will be ______.",1
"We're up all night to get ______.",1
"What does the fox say?",1
"What is what my Cutie Mark telling me?",1
"What is your favorite type of porn? ______",1
"What's my favorite type of porn?",1
"Whats in my butt?",1
"When I open the fridge I always make sure I have ______ and ______.",2
"When Luna gets sad, she often finds pleasure in ______.",1
"Why is Princess Twilight drunk again?",1
"Why is ______ so wide?",1
"Why the fuck do I have two ______",1
"You want to stick what inside Rarity?!?",1
"Your ______ is bad and you should feel bad.",1
"______ and ______ will be the next guests on Epic Pony Rap Battles of Equestria.",2
"______ caused a controversy that upset the fandom for months.",1
"______ cost me both ______ and a ______.",3
"______ denies the existence of ______.",2
"______ does not exist.",1
"______ found ______ in their genitals.",2
"______ got the idea to ______.",2
"______ got to explore ______.",2
"______ has always wanted to get with ______.",2
"______ is best background pony.",1
"______ is best pony because______.",2
"______ needs to be about 20% cooler.",1
"______ opened their legs for ______.",2
"______ ordered ______ a pizza.",2
"______ rigged their name in the raffle to win ______.",2
"______ spends most of their time ______.",2
"______ tried to hide ______ but failed.",2
"______ turned out to be ______ 's secret fetish.",2
"______ was added to Twilight's collection of ______.",2
"______ was featured in a movie about ______.",2
"______ was found on top of ______ in Fluttershy's shed.",2
"______ wrote a fic featuring ______.",2
"______! This time it's personal.",1
"______'s Mom has got it going on &acirc;&trade;&ordf;&acirc;&trade;&laquo;.",1
"______, said no pony ever.",1
"______, we've all been there.",1
"______. It can happen, only on The Hub!",1
"______. Just because it makes you uncomfortable, doesn't mean it has to change.",1
"______? I just don't know WHAT went wrong!",1
