text,blanks
"/me glomps ______.",1
"A Let's react to the new MLP:FiM season left the regulars with a fit of ______",1
"A song about ______ left the chat in tears.",1
"An extreme vector challenge consisted of ______ being drawn in a ______ style.",2
"Because FUCK ______, that's why.",1
"Brotherpunk shared a link of ______.",1
"CH made a blogpost about ______, because it was so amazing.",1
"Cobalt does clop with ______.",1
"Cobalt's next PMV will be ______.",1
"CobaltSky's next blind watch will be of ______.",1
"DarkAura was shocked to find Hennet traded his ______ for ______.",2
"During the 24-hour Skype call, ______ kept linking ______.",2
"Ever since ______ and ______ engaged in a steamy RP, the chat has never been the same.",2
"Ever since ______ posted ______ using derpy.me I never trusted their links again.",2
"Flashy licks ______.",1
"Hennet paid ______ for a backpack full of ______.",2
"Hennet's backpack full of ______.",1
"Hourglass was disappointed when he saw ______.",1
"I really wish I could untype ______.",1
"JetGrey found his love when he was shipped with ______.",1
"JetGrey's latest plan to take over Equestria involved using ______",1
"Killa's secret fetish is ______.",1
"Killagouge made a drawing of ______.",1
"NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA.",1
"Needs more ______.",1
"NEVER click links in a conversation about ______",1
"New shipping made: ______ x ______.",2
"Nobody expected Vegeta to read ______",1
"One night Killa was alone and then ______ happened.",1
"OneTrick joined onto the #EFR to find Brotherpunk posting links about ______.",1
"Put Godcard Here.",1
"Recently Kim has started following a blog about ______",1
"Seto made a drawing of ______.",1
"Soundspeed is secretly a ______.",1
"Soundspeed secretly loves when his fans ______.",1
"Suddenly, ______ was eaten by Nightmare Moon.",1
"Tavy licks ______.",1
"Tavy snuggled with ______.",1
"There are only two reasons to join the IRC: ______ and ______.",2
"This White Card needs to be a Black Card.",1
"Today Seto will be scribbling ______.",1
"Tonight on Brony Breakdown, Saberspark interviews ______ about ______.",2
"Tonight on Sketchy's Live Songcast - Sketchy has trouble with ______.",1
"Vigilant is going to fly ______ and ______ with him to Bronycon this year.",2
"Vigilant is Watching ______.",1
"What does the regulars' chatroom smell like?",1
"What is FlutterDashie's favorite ship?",1
"What is Soundspeed's favorite past-time?",1
"When BrotherPunk isn't busy being Polish, he enjoys ______.",1
"When I'm sitting on the toilet I like to think about ______",1
"When JetGrey unveiled his newest invention, no one thought it would be ______.",1
"When no one was looking, Deft Hoof stole ______. And that's terrible.",1
"While playing Banned From Equestria (Daily), Parchment Scroll saw ______ doing ______.",2
"Who does this Card Czar resemble?",1
"Why can't we have nice things?",1
"Would the real ______ please ______?",2
"You there, boy! What day is this? Why Sir it's ______ Day!",1
"______ and ______ got into a slimy Nutella RP.",2
"______ automatically wins this round.",1
"______ Batman is BEST Batman!",1
"______ broke Nerfley with ______.",2
"______ can't sing for shit!",1
"______ caused Hennet to ragequit. AGAIN.",1
"______ didn't get the rules. After 4 kicks and a ban.",1
"______ fangasmed about their fanart of ______.",2
"______ got banned from the channel for ______.",2
"______ has no more potential anymore.",1
"______ has no power here.",1
"______ is why I don't have ______.",2
"______ joined the room to spam ______, then left.",2
"______ kept doing ______ in our last Skype call.",2
"______ made a joke about ______ before being banned to the moon.",2
"______ pls.",1
"______ poni.",1
"______ ragequit after ______ posted ______",3
"______ randomly did ______ in last night&rsquo;s Skype call.",2
"______ requested Chaotic Harmony to write about ______.",2
"______ sang a song about ______.",2
"______ should be the next popular anime.",1
"______ vs ______.",2
"______ was broken when they saw ______.",2
"______ was confused with ______ when they wore a dress.",2
"______ was never the same after they were mass hugged in chat.",1
"______ was sleeping on the call while ______ were talking about ______.",3
______.,1
"______. ALL. OVER. EVERYTHING!",1
"______. What did I just walk into?",1
