text,blanks
"After a wild night of crusading, Applebloom learned that ______ was her super special talent.",1
"After a wild night of partying, Fluttershy awakens to find ______ in her bed.",1
"After living for thousands of years Celestia can only find pleasure in ______.",1
"Aloe and Lotus have been experimenting with a radical treatment that utilizes the therapeutic properties of ______.",1
"And that's how Equestria was made!______,",1
"Big Mac sleeps soundly whenever ______ is with him.",1
"BUY SOME ______!",1
"CUTIE MARK CRUSADERS; ______! YAY!",1
"Daring Do and the quest for ______.",1
"Dear Princess Celestia, Today I learned about ______.",1
"Despite everypony's expectations, Sweetie Belle's cutie mark ended up being ______.",1
"Equestrian researchers have discovered that ______ is The 7th Element of Harmony.",1
"Every Morning, Princess Celestia Rises ______.",1
"Everypony was shocked to discover that Scootaloo's cutie mark was ______.",1
"Giggle at ______!",1
"I never knew what ______ could be, until you all shared its ______ with me.",2
"I'd like to be ______.",1
"In a fit of rage, Princess Celestia sent ______ to the ______ for ______.",3
"In a stroke of unparalleled evil, Discord turned ______ into ______.",2
"In a world without humans, saddles are actually made for ______.",1
"Inexplicably, the only thing the parasprites wouldn't eat was ______.",1
"It turns out Hitler's favorite pony was ______.",1
"It's not a boulder! It's ______!",1
"Lauren Faust was shocked to find ______ in her mailbox.",1
"Luna didn't help in the fight against Chrysalis because she was too busy with ______.",1
"My cutie mark would be ______.",1
"Not many people know that Tara Strong is also the voice of ______.",1
"Nothing makes Pinkie smile more than ______.",1
"Once upon a time, the land of Equestria was ruled by ______ and ______.",2
"Ponyville is widely known for ______.",1
"Ponyville was shocked to discover ______ in Fluttershy's shed.",1
"Prince Blueblood's cutie mark represents ______.",1
"Rainbow Dash has always wanted ______.",1
"Rainbow Dash is the only pony in all of Equestria who can ______.",1
"Rainbow Dash received a concussion after flying into ______.",1
"Rarity has a long forgotten line of clothing inspired by ______.",1
"Rarity was supposed to have a song about ______, but it was cut.",1
"Rarity's latest dress design was inspired by ______.",1
"Should the Elements of Harmony fail, ______ is to be used as a last resort.",1
"Super Speedy ______ Squeezy 5000.",1
"Surprisingly, Canterlot has a museum of ______.",1
"The Elements of Harmony were originally the Elements of ______.",1
"The Everfree forest is full of ______.",1
"The national anthem of Equestria is ______.",1
"The only way to get Opal in the bath is with ______.",1
"The worst mishap caused by Princess Cadance was when she made ______ and ______ fall in love.",2
"To much controversy, Princess Celestia made ______ illegal.",1
"Today, Mayor Mare announced her official campaign position on ______ and ______. No pony was the least bit surprised.",2
"Twilight got bored with the magic of friendship, and now studies the magic of ______.",1
"Twilight Sparkle owns far more books on ______ than she'd like to admit.",1
"When Luna got to the moon, she was greeted with ______.",1
"When Spike is asleep, Twilight likes to read books about ______.",1
"Without any warning, Pinkie Pie burst into a song about ______.",1
"You're a human transported to Equestria! The first thing you'd look for is ______.",1
"Zecora is a well known supplier of ______ and ______.",2
"______ has won the national Equestrian award for ______.",2
"______ is best pony.",1
"______ should ______ ______.",3
"______. That is my fetish.",1
"______? That's future Spike's problem.",1
