text,blanks
"Betrayals are like ______.",1
"Grifball! The best sport since ______.",1
"GrifballHub at RTX will be sponsored by ______.",1
"I missed the pass because of ______.",1
"I quit! Have fun with ______.",1
"In 50 years, what I'll remember most about Grifball is ______.",1
"In Halo 5, ______ and ______ will replace hammers and swords.",2
"My wishlist for the next Halo game includes dedicated servers, spectator mode, and ______.",1
"RIP ______.",1
"The key to winning a Grifball championship is ______.",1
"What makes Grifballers rage?",1
"Why did we just get 9-0'd?",1
"Why was I banned from GrifballHub?",1
"______ for league administrator!",1
"______: It's a legitimate strategy.",1
