text,blanks
"Combine a pinch of ______, and a pint of ______, and you have made your first ______ potion.",3
"Grasp your ______ between your hands and say ""Up!""",1
"Grasp your ______ between your hands and say &acirc;&euro;&oelig;Up!&acirc;&euro;ù",1
"Hagrid is insisting that this ______ is his newest pet.",1
"Harry Potter and the ______ of ______.",2
"I don't know how I got it, but this ______ shaped scar on my forehead is pretty wicked.",1
"I missed it. What did my Patonus look like?",1
"I solemnly swear that I am up to ______.",1
"I whish I could cast Avada Kedavra on ______/",1
"If you want to know what a man's like, take a good look at how he treats his ______, and not his ______.",2
"Master has given Dobby a ______! Dobby is a free Elf!",1
"Not even Veritaserum will get me to tell the truth about ______.",1
"Red hair and a hand-me-down robe. You must be a ______.",1
"Riddkulus! I just turned that Boggart into ______.",1
"Spoiler! ______ kills ______.",2
"What did you do to make our house loos 100 points?",1
"What was really under Quirrel's turban?",1
"Who should be the next Defense Against The Dark Arts teacher?",1
"______ can be found in the darkest of places.",1
