text,blanks
"And just for that, you&rsquo;re grounded. No more ______ for two weeks.",1
"Helping my dad in the garage with ______ slowly turned into another conversation about ______.",2
"I can&rsquo;t stay mad at my husband even though he gave me ______.",1
"I finally joined Facebook and I embarrasingly made my first post about ______.",1
"I left my browser open and now my mom thinks I have a ______ fetish.",1
"I ordered ______ for the holidays, but they sent ______ instead.",2
"In my day, we didn&rsquo;t have any fancy gadgets for ______.",1
"Kill. Fuck. Civil Union. ______. ______. ______.",3
"My jaw hurts because of ______.",1
"My local team finally won. Woohoo. #______.",1
"My masturbation exit plan involves ______.",1
"My phone bill includes calls to 976- ______.",1
"Once I earned the nickname ______, I became the most popular student at school.",1
"Paying for sex is only wrong if you pay with ______, or if it&rsquo;s a Thursday.",1
"The Cloud&acirc;&bdquo;&cent; was hacked and all of my ______ pictures were stolen.",1
"The thing I&rsquo;ll do for $10,000""&brvbar;",1
"The worst part about watching my parents having sex was ______.",1
"Tonight on Jerry Springer. Pot-smoking parents and their obsession with______.",1
"We spent our entire first date together arguing about ______.",1
"What if this time, you&rsquo;re the big spoon and I&rsquo;m ______.",1
