text,blanks
"A helpdesk call to fix ______ with ______",2
"Forgetting ______ in the datacenter is a firing offense",1
"Forgot my badge this morning and had to use ______ to get in",1
"Had a user fall prey to a sophisticated ______ phishing attack",1
"I got this coffee mug from a conference about ______ back in 1997",1
"I just got a new certification in ______",1
"In a pinch, ______ can be used to remotely reboot a server",1
"Nothing transfers data faster than ______",1
"That red plunger switch on the wall launches ______",1
"The hot new videogame this year is ______ Simulator!",1
"The last consultant was fired over ______",1
"The new IT Director has a sick tattoo of ______",1
"Two factor auth with ______ and ______",2
"We're going to use ______ instead of updating to IPv6",1
"______ is Layer 8 of the OSI Networking Model",1
"______ is now included for free with every OS Update",1
"______ is now required every time you restart ______",2
"______ is the last stage of our ______ rollout",2
