text,blanks
"Does anyone have a reason these two should not be joined in holy matrimony?",1
"I pledge to honor and ______ you, in sickness and ______, until ______ do us part.",3
"Marriage: the beginning of ______ and the end of ______.",2
"My significant other promised me we could finally try ______ on our wedding night.",1
"Until ______ do us part.",1
"We couldn't find a church, so instead we got married in ______.",1
"We decided to be a little non-traditional, instead of cans, we drug ______ behind our car as we drove off to our honeymoon.",1
"Why I love my future spouse? That's easy, ______.",1
"Will you make me the happiest man alive by ______?",1
"______ is a great replacement for throwing rice",1
