text,blanks
"A sequel to ""The Sound of Music"" is in production. It is going to be called ""The Sound of ______"".",1
"After opening up Prince's music vault, its been discovered that he wrote dozens of songs about ______.",1
"Anonymous' next target: ______.",1
"At the last family reunion, everyone gathered around the living room and watched home videos of ______.",1
"Class, if you though Chaper 1: ______ was great, just wait until you read Chapter 2: ______.",2
"Dear Diary, ______ has really gotten me emotional today.",1
"Give me one good reason why I shouldn't kill myself?",1
"Have you heard of the latest celebrity death hoax? Apparently, it was claimed that Simon Cowell died from ______ while being under the influence of ______.",2
"Huge savings! Everything must go! Come to our liquidation sale where ______ is 20% off, ______ is 30% and ______ is a whopping 75% off!",3
"I am so excied. I am finally getting a tattoo of ______ on my neck this year.",1
"I never liked ______ because I have had better experiences with ______.",2
"I would live to solve the puzzle! ______.",1
"Instead of a pink mustache, Lyft drivers are now required to have ______ on their dashboard at all times.",1
"It was bound to happen. ______ has taken over the world.",1
"Lights. Camera. ______.",1
"Live from New York! It's ______.",1
"On the next My Strange Addiction, we find out, since age 3, Betty has been addicted to ______.",1
"On The Price is Right, you have a chance to win ______!",1
"The creators of ""Girls Gone Wild!"" are taking it to the next level with "" ______ Gone Wild!""",1
"The last time I went to the State Fair, I saw an outdoor exhibit on ______.",1
"Today on the Howard Stern Show: ______.",1
"What can you find under RuPaul's dress?",1
"What is keeping me occupied while waiting in line at the DMV?",1
"What is the last thing you whispered into your date's ear?",1
"What put an abrupt end to the funeral?",1
"What three things are on my Christmas list this year?",1
"What's the secret to a long and healthy life?",1
"What's your problem, you dumbass stupid fucking bitch?",1
"You can't have a housewarming party without ______.",1
"______ always makes me laugh every time I see it.",1
