text,blanks
"At the last family reunion, everyone gathered around the living room and watched home videos of ______.",1
"I finally discovered that the secret ingredient in my grandmother's pasta sauce is ______.",1
"I hope I'm not late to ______ class today! Professor ______ will kill me!",2
"I never liked ______ because I have had better experiences with ______.",2
"I've decided my screen name on OkCupid will be ______ and ______ put together.",2
"It was bound to happen. ______ has taken over the world.",1
"Live from New York! It's ______!",1
"My neighbor is a suspicious fellow. This morning I saw him dumping ______ into his trashcan.",1
"Nothing says ""I love you"" like ______.",1
"On The Price is Right, you have a chance to win ______.",1
"The last time I went to the State Fair, I saw an outdoor exhibit on ______.",1
"Today on the Howard Stern Show: ______.",1
"What put an abrupt end to the funeral?",1
"What was the last thing you whispered into your date's ear?",1
"______ always makes me laugh every time I see it.",1
