text,blanks
"""It's trivial!""  said the Professor. ""It's obviously just a ______.""",1
"A hurricane named ______.",1
"A parasite is an organism that takes ______ away from another organism while it is still living.",1
"After getting tenure the professor celebrated by ______.",1
"After I defended, my adviser gave me ______.",1
"After I mixed ______ and ______, it resulted in ______.",3
"After Joe forgot to put the ______ under the fume hood, all hell broke loose.",1
"After much deliberation, IUPAC decided to name the next element ______ium.",1
"After pointing the Hubble space telescope at a blank patch of sky for 10 days astronomers were surprised to see ______.",1
"All models are wrong, but some are ______.",1
"Applied for postdoc, all I got was this lousy ______.",1
"As an experiment, I inserted ______ into ______ and discovered ______.",3
"As Schrodinger stuffed the cat in the box, he had an awful thought: What if the cat is ______?",1
"Astronomers watched excitedly as ______ made its final descent into the black hole.",1
"Before centrifuging ______, never forget to ______.",2
"Best excuse for putting off writing a referee report.",1
"Better living through ______.",1
"Campus lab safety protocol requires you to always put on your ______ bafore doing ______.",2
"Can you believe the new Texas textbooks said ______.",1
"Carl Linnaeus would have named it.",1
"Chemical equilibrium was reached when ______.",1
"Congratulations! Your fellowship includes a stipend and ______.",1
"Creationists hate it when ______.",1
"Darwin's Theory of ______ was invalidated by ______.",2
"Despite some recent progress, ______ are still struggling to understand ______.",2
"Dinosaur bones are really a test of our faith in ______.",1
"Don't forget to include ______ in your dissertation acknowledgments.",1
"Drinking in the lab on a Friday night is usually not a good idea, because ______ tends to be the result.",1
"Einstein described ______ as ""his biggest blunder.""",1
"Einstein was also well respected in the academic community for his studies on ______.",1
"Elon Musk's next company to tackle ______.",1
"Epigenetics: As easy to understand as ______.",1
"Everything I know about science I learned from ______.",1
"Further study is required to establish a causal link between ______ and ______.",2
"Grad school was going well until I came across ______.",1
"Have you considered the effect of ______?",1
"Her gravity well tasted surprisingly like ______.",1
"Hey! We've discovered ______ on Mars!",1
"How do you escape a black hole?",1
"I can't believe I get paid to ______.",1
"I can't wait until I never have to ______.",1
"I couldn't finish my proposal because I was detained by ______.",1
"I don't think the Large Hadron Collider was expecting to discover ______.",1
"I hate it when I get busted for ______.",1
"I just love doing ______ behind the lab bench !",1
"I knew I never should have added ______ to the chemical reaction.",1
"I knew I should not have used my twins for an experiment when I observed ______.",1
"I knew my Ph.D. Defense wasn't going well when ______.",1
"I published my first paper in the journal of ______.",1
"I was surprised to find that the wormhole led to ______.",1
"I will be required to dissect 500 ______ to complete my thesis.",1
"In hindsight, I shouldn't have put ______ in the autoclave.",1
"In the darkness of the laser lab, Mary mistook the ______ for a polarimeter.",1
"In the lab, I dropped the ______ on the ______. That was a mess.",2
"It's been said that ______ causes autism. Murderers!",1
"It's perfectly okay to pipette by mouth, except when using ______.",1
"Josiah Willard Gibbs always thought ______ was pretty hot.",1
"Lady Ada often spent the evening at home with her ______.",1
"My lab mates really hated it when I ______ while listening to ______.",2
"My paper on ______ couldn't get published in a peer review journal, so I submitted it to ______.",2
"My PCR didn't work due to ______.",1
"My results may have been influenced by the ______ discovered in my ______.",2
"My thermodynamics class failed to mention the law of conservation of ______.",1
"Newton was led to the discovery of gravity when ______ hit him on the head.",1
"Nothing is denser than ______.",1
"Oh, those are just mice ______.",1
"On the next episode of The Big Bang Theory, Sheldon Cooper faces ______.",1
"On the Origin of ______ - Darwin's lesser-known tome.",1
"Organs are best grown in the lab with the addition of ______.",1
"Our hierarchical Bayesian analysis resulted in a high-confidence inference of ______.",1
"Physicists will often simplify a system by modeling it as a ______.",1
"Quantum physicists have succeeded in entangling ______ and ______.",2
"Rutherford's ______ experiment helped determine the basic structure of ______.",2
"Science. Where truth can be found in ______.",1
"Science: A journey that begins with ______.",1
"Science: Doing its part to help humanity, one ______ at a time.",1
"Science: I devoted my life to it because ______.",1
"Science: The only endeavour in which studying ______ is respectable.",1
"Science: The perennial quest for ______.",1
"Science: The ______ that keeps on giving.",1
"That's not a hypothesis it's ______.",1
"The amazing lyrebird can imitate any sound, except that of ______.",1
"The best endothermic reaction is ______.",1
"The best way to obtain pulication-quality data is to use ______.",1
"The experiment started working once the ______ was inserted in the ______.",2
"The gravitational pull of a ______ is so great that not even light can escape.",1
"The last mass extinction event was caused by ______.",1
"The mysterious residue on the lab counter was ______.",1
"The National Science Foundation recently started handing out grants to study ______.",1
"The newly discovered species was so fat when it ______ it ______.",2
"The one thing Neil Degrasse Tyson doesn't want you to know about science is ______.",1
"The peer reviewer suggested ______ might help.",1
"The ______ can be distinguished from the ______ by ______.",3
"Things to do: 1. ______ 2. ______ 3. ______",3
"To coax miceto mate, I like to ______.",1
"To increase its Impact Factor, Nature published a special issue about ______.",1
"Universities in the southern United States are beginning to hire ______.",1
"We knew our grant didn't get funded when ______.",1
"We regret to inform you that your investigation into the mating habits of ______ will not be funded.",1
"What aspects of STEM public outreach are audiences most clamoring for?",1
"What astronomers found lurking inside a black hole.",1
"What contaminated my cell cultures?",1
"What did Carl Sagan put in his bong water?",1
"What is the name given to an object so massive it deflects the paths of passing light rays?",1
"What is the source of the Ultra-High Energy Cosmic Rays?",1
"When alone during evenings in the laboratory, I like to ______.",1
"When I opened the incubator this morning, I found ______.",1
"When I redced the Hubble Space Telescope images, I was ______.",1
"When I was out doing field work, I caught ______ in my trap.",1
"When Schrodinger opened the box, he found ______.",1
"When the ice caps melted we were surprised to find unfrozen ______.",1
"While mercifully rare, there is no known cure for ______.",1
"Who is the latest superstar professor to be hired?",1
"Why can't I get ______ to work?",1
"Why did the dinosaurs die?",1
"Why I chose a career in science.",1
"Why is my bench sticky?",1
"You can use this to calculate the radius of the hydrogen atom.",1
"Your advisor's favorite side activity during group meetings.",1
"Your conclusion is flawed bacause you failed to reconcile ______ with ______.",2
"Your gut microbiota can help you ______.",1
"______ - results inconclusive.",1
"______ can be thought of as a superposition of ______ and ______.",3
"______ caused the Pioneer anomaly.",1
"______ is why there aren't enough women in the sciences.",1
"______ or perish.",1
"______ plus ______ resulted in science's biggest flop to date.",2
"______ taught me all I know about science.",1
"______. It's a bitch.",1
