text,blanks
"A million dollars isn’t cool. You know what’s cool?",1
"A term sheet signing would be incomplete without ______.",1
"After outsourcing our engineers to Eastern Europe, we can finally afford ______.",1
"After the apocalypse I want ______ in my bunker.",1
"After ______, I changed my relationship status to &ldquo;it’s complicated.&rdquo;",1
"At this point in our startup journey, I need ______ to get through the day.",1
"Burn rate? What burn rate? We’re spending on necessities, like ______.",1
"Credibility in this town comes from think pieces on ______.",1
"Differences over ______ tore our founding team apart.",1
"Elon Musk's newest TeslaSolarCity plans rely on ______.",1
"FiveSquare: it’s like FourSquare but for ______",1
"Google Glass engineers forgot the importance of ______.",1
"How are ed tech startups inspiring kids to succeed?",1
"How can we liven up our office party?",1
"I forgot to finish my business plan; too busy thinking about ______.",1
"I hear Facebook is heavily recruiting for ______ these days",1
"I want my Wikipedia page to say I'm the best at ______.",1
"If we capture just 1% of the market for ______, we'll be a unicorn in no time.",1
"In 500 years, school children will be studying ______.",1
"In Silicon Valley, Santa hands out ______ to the bad kids.",1
"It’s hard being ______ in tech.",1
"It’s like Blue Apron, but instead of meals you’re building ______.",1
"It’s like Chatroulette for ______.",1
"Make a tech haiku with three cards:",1
"Marc Andreessen’s greatest fear is ______.",1
"My biggest regret as a founder is ______.",1
"No one cares about the product anymore; today's founders are just in it for the ______.",1
"Our first day at Y Combinator! Based on ______ they suggested we pivot to ______.",2
"Our profitability forecasts may have counted too heavily on ______.",1
"Peter Thiel will never die, now that he’s ______ every morning.",1
"Startups are essentially outsourced ______.",1
"Step 1 ______ Step 2 ______ Step 3: Profit",2
"Steve Wozniak wishes he took a stronger stand on ______.",1
"The Buzzfeed listicle on ______ pushed me to fulfill my idea of ______.",2
"The hottest startups are handing out ______ at the Stanford career fair.",1
"The key to a good pitch meeting is ______.",1
"The most common pick-up strategy in SF bars relies on ______.",1
"The new must-have startup intern perk is ______.",1
"The newest ingredient in Soylent is ______.",1
"The only thing Big Data can't solve for is ______.",1
"The topic of the next Mike Isaac and Manjoo Farhad show is ______.",1
"This founding team opened with ______ and followed with ______ and we knew we had to fund them.",2
"To all entrepreneursin-training, I recommend ______ if you want to be taken seriously",1
"Try ______, it’s the new kale.",1
"Unfortunately, the graffiti artist we hired for our office is a big fan of ______.",1
"VCs these days; too much ______, not enough ______.",2
"We aim to solve unemployment by leveraging ______.",1
"We attract dumb money (corporate investors) by pretending to focus on ______.",1
"We have minimum viable product, so now we just need ______ to perfect our pitch.",1
"We hired a whole bunch of interns just for ______",1
"We make self-driving cars that make ______ part of the journey.",1
"We were promised flying cars, and instead we got ______.",1
"We’re a thesisdriven VC firm focused on the world-changing opportunity in ______.",1
"We’re a vibrant community of ______ focused on revolutionizing ______.",2
"We’re building an app that warns you about ______.",1
"We’re getting a lot of traction in Brooklyn by offering ______ as a service.",1
"We’re like TaskRabbit for ______.",1
"We’ve built up a real following in Oakland providing ______ as a service.",1
"What convinced our founders to hire our first HR rep?",1
"What exacerbates the Silicon Valley housing crunch?",1
"What helps Peter Thiel unwind?",1
"What keeps Fred Wilson up at night?",1
"What killed our food delivery startup?",1
"What motivates me through night-long hacking sessions?",1
"What will Elizabeth Holmes disrupt next?",1
"What’s Bill Gates’ after dinner habit?",1
"What’s helping you make the world a better place?",1
"When we ask about ______ we’re really discussing ______.",2
"With ______ technology, North Korea will bring the U.S. to its knees.",1
"You don’t get to 1 billion friends without ______.",1
"You’ll never get VC facetime these days unless you bring up ______.",1
"Zuckerberg never accounted for ______.",1
"______ at your company’s booth at the startup fair is a sure win.",1
"______ gets more efficient every year; it’s the new Moore’s Law.",1
"______ is a Silicon Valley rite of passage.",1
"______ is not a bug, it’s a feature.",1
"______ is the new ______.",2
"______ will make virtual reality mainstream.",1
"______ will motivate millennials to save money.",1
