text,blanks
"Customers who purchased ______ on amazon.com, also bought ______.",2
"Even my stupid-ass kids are smarter than ______.",1
"Finally. A Facebook update about ______ that doesn&rsquo;t make me want to bury my face in ______.",2
"Half man. Half ______.",1
"Homeopathic medicine can now cure ______, by mixing mercury and ______ together.",2
"Hurry, before hipsters ruin ______, too.",1
"I always assumed Family Circus&acirc;&bdquo;&cent; was secretly about ______.",1
"I just bought an ironic t-shirt with the slogan ______, and a picture of a ______ on it.",2
"I&rsquo;d rather get smacked with a ton of ______ than see another LOLCat post.",1
"My video of ______ just went viral.",1
"Now that Washington and Colorado have legalized weed, I only go to Holland for ______.",1
"Oh good. Another unofficial expansion to Cards Against Humanity&acirc;&bdquo;&cent;. At least this one doesn&rsquo;t have that overly-offensive ______ card in it.",1
"Thanks to you and your ______, I&rsquo;ll never worry about ______, again.",2
"The zombie fad is finally dying off. What&rsquo;s next?",1
"This time, Liam Neeson must rescue his daughter from ______.",1
"We can&rsquo;t afford a wage increase because we lost all of our money investing in ______.",1
"We need to maximize priority workflow into synchronized synergistic application platforms that analyze and manage resource teams to monetize ______.",1
"What wouldn&rsquo;t Jesus do?",1
"______ is to ______, as socialized medicine is to Hitler.",2
"______. That&rsquo;s why we can&rsquo;t have nice things.",1
