text,blanks
"A fortune teller told me I will live a life filled with ______.",1
"All players can discard and draw up to 2 new cards. Pick a new card after this one.",1
"All players can discard and draw up to 3 new cards. Pick a new card after this one.",1
"All players can discard and draw up to 4 new cards. Pick a new card after this one.",1
"And now we're going to be fighting ______ on ______.",2
"Apple has revealed they now have a patent for ______.",1
"As a kid, I was afraid ______ was hiding under my bed.",1
"Ask your doctor if ______ is right for you.",1
"Best drink ever: One part ______, and a splash of ______.",2
"For only 25&Acirc;&cent; a day, you can provide a child in Africa with ______.",1
"Heroin: a proud supporter of ______.",1
"I have ______ - Dr. Martin Luther King, Jr.",1
"In an exclusive CNN interview the Pope revealed his new hobby, ______.",1
"My best friend died texting while driving. The last text she sent before crashing was about ______.",1
"My favorite 4Chan thread was about ______.",1
"Sticks and stones my break my bones, but ______ will never hurt me.",1
"The best part of waking up is ______ in your cup.",1
"The best xmas present my grandma ever gave me was ______.",1
"The road to success is paved with ______/",1
"This Thanksgiving, I'm most thankful for ______.",1
"What is in my rape kit?",1
"When life gives you ______, make ______.",2
"When you wake up from a night of heavy drinking, you usually regret ______.",1
"______ and ______: Still a better love story than Twilight.",2
"______ can help any relationship.",1
"______ is the glue that keeps us together.",1
"______ is ust a polite euphemism for ______.",2
"______ vs. ______: The new SyFy Original Movie.",2
"______. No homo.",1
"______: Boil 'em, mash 'em, sticke 'em in a stew.",1
