text,blanks
"Before attempting anal for the first time, I've been told it's best to start with ______.",1
"Dan Brown's latest novel explores the hidden symbolic meaning behind ______.",1
"Hitler did nothing wrong; abortions should be legal for gay babies; Bush wasn't a bad president; and now I'll read the card: what did I masturbate to before I got here?",1
"I'm a dirty, dirty girl. Nothing gets me going like ______.",1
"I'm not a racist, but I love ______.",1
"I'm not usually one for eating contests, but when I found out it was for ______, I just couldn't help myself.",1
"If at first you don't succeed, try, try, try ______.",1
"It may be totally unconventional and shunned by society in general, but when you come right down to it, ______ is the best purchase I've ever made.",1
"Loosely translated, my name means ______ in Japanese.",1
"My proctologist was quite impressed when he saw ______ on my x-rays.",1
"Nothing says, ""I trust you,"" like ______.",1
"Thanksgiving dinner was forever changed when my dad brought up ______.",1
"The ______ Spangled Banner.",1
"Uber's latest service combines the convenience of ______ with the luxury of ______.",2
"What is the short version of why I'm not allowed to go back to Australia?",1
"While writing my wedding vows, I often looked to ______ for inspiration.",1
"You had me at ______.",1
"You say potato, I say ______.",1
"______ gave me AIDS.",1
"______ has taken more lives than Hitler and smoking combined.",1
"______ is considered a compliment in most of Europe.",1
"______ made my moneyshot twice as powerful.",1
"______, or as I like to call it, ______.",2
"______: Not just for kids anymore!",1
"______: the national sport of Africa.",1
