text,blanks
"According to a new study, ______ is worse than we ever thought.",1
"According to a recent study, more than 200 Americans die from ______ each year.",1
"As far back as I can remember, I always wanted to be ______.",1
"At my signal, unleash ______.",1
"Failure in Syria led to the rise of ______.",1
"Fear is the path to the dark side. Fear leads to ______.",1
"Former Virginia Gov. Bob McDonnell and his wife Maureen are both on trial for ______.",1
"Fuck Edward 40hands, I wanna play Edward ______ hands!",1
"Hey, everybody, we're all gonna get ______!",1
"Honey came in, and she caught me red handed ______ with the girl next door.",1
"I am the King of ______!",1
"I do wish we could chat longer, but I'm having ______ for dinner. Bye.",1
"I had no idea you could milk ______.",1
"In case you missed it, here's a YouTube video of ______.",1
"In Fremont, California, parents are outraged that the new Health textbooks will include graphic depictions of both ______ and ______.",2
"In the politics of education reform, ______ can always be used as the ultimate bargaining chip.",1
"Keep ______ legal.",1
"Lets face it baby. These days you gotta have ______.",1
"Oh, and this one time at band camp, I stuck ______ in my pussy.",1
"Republicans claim that when it comes to ______, Obama simply hasn't gone far enough.",1
"Some folks call it a sling blade. I call it ______ blade.",1
"Things white people hate: ______.",1
"This music makes me feel like ______, but I can see that look on your face.",1
"Welcome to the ""Age of ______.""",1
"What did Joan Rivers want at her funeral?",1
"What killed Joan Rivers?",1
"What's my favorite sin?",1
"You know the difference between you and me?I make ______ look GOOD.",1
"______ + ______ = The AIDS crisis not being over.",2
"______ is a threat to the American way of life.",1
