text,blanks
"...and ______ half the battle.",1
"...Come on down! You&rsquo;re the next contestant on ______!",1
"21 ______ Street.",1
"A Nightmare on Elm Street 2: Freddy&rsquo;s ______.",1
"By the power of ______ &acirc;&euro;&brvbar; I HAVE THE POWER!",1
"I pity da foo&rsquo; ______!",1
"Like a virgin, ______ for the very first time, Like a vir-ir-ir-ir-gin.",1
"Look Ma! I caught ______!",1
"Now here&rsquo;s a little story that I got to tell, about ______.",1
"Papa Smurf, Brainy Smurf,  and ______ Smurf.",1
"She told me her name was Billie Jean, as she caused a scene, then every head turned with eyes that dreamed of ______.",1
"Shot through the heart, and you&rsquo;re to blame, darling you give ______ a bad name...",1
"This is my rifle, this is my gun. This is for fighting, this is for ______.",1
"Time after time, if you fall I will catch you, I will be ______ time after time.",1
"WellI love a rainy night, it&rsquo;s such a beautiful sight, I love to feel ______ on my face.",1
"Whatcha gonna do brother, when ______ and run wild on you!?",1
"Would you be mine, Could you be mine, Won&rsquo;t you be ______.",1
"You take the good, you take the bad, and there you have ______.",1
"______ is filmed before a live studio audience.",1
