text,blanks
"A common saying among Romulans is, &acirc;&euro;&oelig;Never turn your back on ______&acirc;&euro;ù.",1
"All hands to battlestations. Divert emergency power to ______.",1
"And like a thousand other commanders on a thousand other battlefields, I wait for ______.",1
"Borg nanoprobes are the perfect solution for ______.",1
"Damn it Jim! I&rsquo;m a doctor not ______.",1
"Data calls his latest poem &acirc;&euro;&oelig;Ode to ______&acirc;&euro;ù.",1
"Flair is what marks the difference between artistry and ______.",1
"for ______!",1
"I fall asleep each night with ______ in my hands.",1
"If the warp drive fails to activate, the results could be ______.",1
"It&rsquo;s called the Neutral Zone because ______ is forbidden.",1
"Laws change depending on who&rsquo;s making them, but ______ is justice.",1
"Lieutenant, you are looking at the only man to beat ______.",1
"Logic is the beginning of wisdom, not ______.",1
"No starship would be complete without ______.",1
"Red Alert. Shields up. All hands prepare",1
"Some are born great. Some achieve greatness. And some have ______ thrust upon them.",1
"Space is ______ and ______ wrapped in darkness and silence.",2
"Star Trek III: The Search for ______.",1
"Starfleet was founded to seek out new life and ______.",1
"Thanks to ______, we were able to miraculously avoid a warp core breach at the last second.",1
"The best part of my fictional holodeck future was ______.",1
"The lesser-known &acirc;&euro;&oelig;Klingon High Council of ______&acirc;&euro;ù.",1
"The line must be drawn here! This far, and no farther! I shall make them pay for ______!",1
"The needs of the many outweigh the needs of ______.",1
"The new Starfleet uniform code: Command: Red. Operations: Gold. ______: Blue.",1
"There was a time when you looked up at the stars and dreamed of ______.",1
"There&rsquo;s nothing left but dried bones and ______.",1
"What am I going to spend my first bar of gold-pressed latinum on?",1
"What was the best thing I learned at Starfleet Academy?",1
