text,blanks
""" ______ doesn't count as ""real rape"" anyway.""",1
""" ______, it gives you wings.""",1
""" ______, it's so good once it hits the lips.""",1
""" ______. Thanks, Obama!""",1
"""I know you are, but what am I?""",1
"""If you ______, when you should have ______ 'd; you're gonna have a bad time.""",2
"""Instead of candy, for Halloween I'm giving out ______.""",1
"""My God, it's full of ______.""",1
"""Peek-a-boo, I see ______!""",1
"""Remember kids, ______ is not edible.""",1
"""Side effects may include: ______, ______, and ______.""",3
"""Thanks to autocorrect, I sent my boss a text telling them I would be busy working on ______ this weekend.""",1
"""Waffle House&reg; hashbrowns scattered, smothered, and covered with ______.""",1
"""Women are only good for three things: cooking, cleaning, and ______.""",1
"""Yeah, ______ is amusing, but it's no rape.""",1
"A Super Soaker&reg; full of ______.",1
"Abandon hope all ye who enter ______.",1
"All ______ look alike.",1
"Autism is caused by ______.",1
"Bacon flavored ______.",1
"Consent ruins ______.",1
"Crying doesn't signal a lack of consent for ______.",1
"Guns don't kill people. ______ kills people.",1
"Her cunt reeked of ______.",1
"I hope your children die of ______.",1
"I never knew they had a ______ flavored jelly bean.",1
"I rented out my wife so I could afford ______.",1
"It could be worse; you could have a wife that doesn't like ______.",1
"It rubs the lotion on its skin or else it gets ______ again.",1
"It was ______ that totally justified the genocide.",1
"It's been scientifically proven that ______ improves ______.",2
"Mexicans are just not cut out for ______.",1
"My day was going so well until I ejaculated all over ______.",1
"My favorite fetish is ______ but only when ______ is involved.",2
"My Pinterest&reg; is full of ______.",1
"Never again will I lick ______.",1
"Never turn your back on ______.",1
"One time I woke up with ______.",1
"Surprise ______!",1
"The economy would bounce back if we'd just legalize ______.",1
"The secret to a happy marriage is ______.",1
"The whores in my freezer should have been more careful with ______.",1
"Watching my wife get ______ by a stranger.",1
"Watching your child enjoy ______ on RedTube&reg;.",1
"What did I buy in bulk at Costco&reg;?",1
"When did ______ suddenly become a racial slur?",1
"You weren't the one that got ______ in your cooch.",1
"______ and a lot of coke made the gangbang last a day longer than expected.",1
"______ exposed that the NSA was spying on ______.",2
"______ is always better at gunpoint.",1
"______ is the best way to show respect for authority.",1
"______ is the next Doritos&reg; flavor.",1
"______ is the next super food.",1
"______ is the reason we can't have nice things.",1
"______! Right in the kisser.",1
"______. Better drink my own piss.",1
"______. CHALLENGE ACCEPTED.",1
"______. Finger lickin' good.",1
"______. It's a hell of a drug.",1
"______? I could fap to that.",1
"______? Why not Zoidberg?",1
