text,blanks
"""As far as I'm concerned, the only difference between school and prison is ______."" - Quinn Morgendorffer",1
"""Dressing in black is a fashion statement! It's ______. It's ______. And it's slenderizing."" - Quinn Morgendorffer",2
"""Gardner is telling us is that the writer of fiction has a duty that goes beyond the mere telling of a story. His or her job is to tell a story in such a way as to leave the reader with ______?"" - Mr. O'Neill",1
"""I don't stop you from ______, don't stop me from this."" - Quinn Morgendorffer",1
"""I like ______. It makes me special"" - Daria",1
"""If something makes you feel good like ______, there must be a corresponding painful side, like ______, and that it's just a fact of life."" - Daria",2
"""My goal is not wake up at 40 with the bitter realization that I've wasted my life on a job I hate, because I was ______ in my teens."" - Daria",1
"""Of course, she should divorce divorce him. He's ______!"" - Quinn Morgendorffer",1
"""Power Yoga is a really good thing to do because inner beauty is just as important as ______."" - Quinn Morgendorffer",1
"""Pssst. Daria, what did you get for #1?"" - Kevin, ""The one about who I really am? Try ______."" - Daria",1
"""Thank god for ______. Otherwise you'd never know whom your real friends are. "" -Daria",1
"""We tell you over and over again that you're wonderful, and you just don't get it. What's wrong with you?"" - Helen",1
"""Why couldn't I have been born during an influenza epidemic?"" - Mr. DeMartino",1
"All that matters in a relationship is that you like ______.",1
"And the vocabulary word of the night is ______.",1
"Even though I'm more popular, what's the one thing we do have in common?",1
"Favorite pastime: ______",1
"How am I going to get through this?",1
"How come every five minutes I feel like I'm going to throw up?",1
"How did I show my father that I'm not a communist?",1
"I had a bad experience on that hill with the Girl Scouts. We kept ______.",1
"I only feel like I'm wasting my life when I'm ______.",1
"I've been busy ______ all day.",1
"Isn't ______ for people who drop out of high school to pursue a career based solely on youth and looks, both of which are inevitably declared dead at age 25?",1
"It smells like- it smells like- ______",1
"No life. No hope. No ______.",1
"Oh, shut up, you bloody-______.",1
"There's no aspect, no facet, no moment in life that can't be improved with ______.",1
"What are you bitching about now?",1
"What do you like to do after school?",1
"What does ______ have to do with ______ - Tonight on Sick, Sad World.",2
"What the hell are you talking about ?",1
"Where can I go to see a big good healthy dose of bad attitude?",1
"Where have you girls been all of our lives?",1
"You don't suppose we could be in for ______ of epic proportions?",1
"You know I was thinking, if people in really poor countries can't get food, then how do they stay thin?",1
"You've got the entire course memorized. How come you can't pass the test to get out?",1
"______, next on Sick, Sad World!",1
