text,blanks
"""A person who is ______ is very hard to be a 10."" &ndash;Donald Trump",1
"""All of the women on ""______"" flirted with me -- consciously or unconsciously. That's to be expected."" &ndash;Donald Trump",1
"""At some point, I'm going to be so ______ that you people will be so bored,"" &ndash;Donald Trump",1
"""Goofy ______"" &ndash;Donald Trump",1
"""Happy Cinco de Mayo! The best Taco bowls are made in Trump Tower Grill. I love ______!"" &ndash;Donald Trump",1
"""He referred to my hands, if they're small, ______ must be small. I guarantee you there’s no problem. I guarantee it."" &ndash;Donald Trump",1
"""He’s not a war hero. He’s a war hero because he was ______. I like people that weren’t ______."" &ndash;Donald Trump on John McCain",2
"""I always wanted to get ______."" &ndash;Donald Trump",1
"""I could stand in the middle of Fifth Avenue and shoot somebody and I wouldn't lose ______, okay? It's, like, incredible."" &ndash;Donald Trump",1
"""I don't know what hotel this is, but you ought to try turning on the air conditioning or we're not ______. &ndash;Donald Trump",1
"""I don't like the ______."" &ndash;Donald Trump, on House Speaker John Boehner",1
"""I don't think I'm going to lose, but if I do, I don't think you're ever going to see me again, folks. I think I'll go to ______ and ______ or something."" &ndash;Donald Trump",2
"""I don't think Ivanka would do that, although she does have ______."" &ndash;Donald Trump",1
"""I don’t think I’ve made mistakes. Every time ______ said I made a mistake, they do the polls and my numbers go up, so I guess I haven't made any mistakes."" &ndash;Donald Trump",1
"""I have a great relationship with ______."" &ndash;Donald Trump",1
"""I like kids. I mean, I won’t do anything to take care of them. I’ll supply ______, and she’ll take care of the kids."" &ndash;Donald Trump",1
"""I think I am, actually humble. I think I'm much more humble than ______."" &ndash;Donald Trump",1
"""I think I've made ______. I worked very, very hard."" &ndash;Donald Trump",1
"""I think the only card she has is the ______ card. She has got nothing else going. Frankly, if Hillary Clinton were a man, I don't think she would get 5% of the vote."" &ndash;Donald Trump",1
"""I was gonna hit ______ so hard his ______ would spin and he wouldn’t know what the hell happened."" &ndash;Donald Trump",2
"""I will be the greatest ______ that God ever created."" &ndash;Donald Trump",1
"""I will build a great ______ &ndash; and nobody builds ______s better than me, believe me &mdash;and I'll build them very inexpensively. I will build a great, great ______ on our southern border, and I will make Mexico pay for that ______. Mark my words."" &ndash;Donald Trump",4
"""I wrote this out, and it's very close to my heart. Because I was down there and I watched ______ and ______ down at 7/11, down at the World Trade Center right after it came down."" &ndash;Donald Trump",2
"""I'd like to hear ______ say something."" &ndash;Donald Trump",1
"""I've had ______, I've had a flawless campaign."" &ndash;Donald Trump",1
"""If Hillary Clinton can't satisfy ______ what makes her think she can satisfy America."" &ndash;Donald Trump",1
"""I’ve been treated very unfairly by this judge. Now, this judge is ______. I'm building a wall, OK? I'm building a wall. &ndash;Donald Trump",1
"""Just so you understand, I don't know anything about ______, OK?"" &ndash;Donald Trump",1
"""Lyin' ______"" &ndash;Donald Trump",1
"""Only a ______ would think that,"" &ndash;Donald Trump",1
"""Russia, if you’re listening, I hope you’re able to find the 30,000 emails that are missing. I think you will probably be rewarded mightily by ______. &ndash;Donald Trump",1
"""The beauty of me is that I'm ______."" &ndash;Donald Trump",1
"""The LGBT community, the gay community, the lesbian community &mdash; they are so much in favor of ______ over the last three or four days."" &ndash;Donald Trump",1
"""The other thing with ______ is you have to take out their families, when you get ______, you have to take out their families. They care about their lives, don't kid yourself. When they say they don't care about their lives, you have to take out their families."" &ndash;Donald Trump",2
"""There may be somebody with ______ in the audience."" &ndash;Donald Trump",1
"""There were people that were ______ on the other side of New Jersey, where you have large Arab populations. They were ______ as the World Trade Center came down."" &ndash;Donald Trump",2
"""Vladimir Putin is not ______, OK, just so you understand."" &ndash;Donald Trump",1
"""We need a leader that wrote The Art of ______."" &ndash;Donald Trump",1
"""We're going to knock the shit out of ______."" &ndash;Donald Trump",1
"""What do I know about ______? All I know is what's on the internet."" &ndash;Donald Trump",1
"""When Mexico sends its people, they're not sending their best. They're sending people that have lots of problems...they're bringing ______, they're bringing ______. They're rapists. "" &ndash;Donald Trump",2
"""With billions of people coming into the party, obviously I’m ______,"" &ndash;Donald Trump",1
"""Women: You have to treat them like ______."" &ndash;Donald Trump",1
"""You could see there was blood coming out of her eyes. Blood coming out of ______."" &ndash;Donald Trump",1
"""You know the funny thing, I don't get along with ______. &ndash;Donald Trump",1
"""You know, it really doesn’t matter what [the media] write as long as you’ve got a young ______."" &ndash;Donald Trump",1
