text,blanks
"50 Shades of ______.",1
"A good fanfiction must contain ______.",1
"Are we here to see ______? Apparently, yes.",1
"Arthur ______ at the end of series 5.",1
"Do you hear the people sing? Singing the song of ______.",1
"Explain Assassin's Creed.",1
"Explain Doctor Who.",1
"Fake badges. Fake ID's. Anything that's real?",1
"Here is where I would put my ______, IF I HAD ONE!",1
"Honey, you should see me in ______.",1
"How did Sherlock survive?",1
"How would you define the Avengers?",1
"I am in love with ______.",1
"I am not afraid of ______.",1
"I dreamed a dream, that ______.",1
"I want to ______.",1
"No admittance except ______.",1
"So long and thanks for ______.",1
"Team ______.",1
"The BBC means ______.",1
"The Doctor, the oncoming ______.",1
"The TARDIS has a secret room dedicated to ______.",1
"They're taking ______ to Isengard!",1
"Tumblr shut down because of ______.",1
"What are you sick of?",1
"What is behind Nick Fury's eye patch?",1
"What time is it?",1
"What's in your Tumblr queue?",1
"Without ______, England would fall.",1
"You've been cockblocked by ______.",1
"______ is a man's best friend.",1
"______ is found within Benedict Cumberbatch's chins.",1
"______ is not my division.",1
"______ solves all your problems.",1
"______, feels like heaven.",1
"______, I found it in David Tennant's hair.",1
"______, it deserves the death penalty.",1
"______, kill me please.",1
"______, what a loser!",1
