text,blanks
"A contract is a contract is a contract... but only when ______.",1
"A Ferengi without ______ is no Ferengi at all.",1
"A man is only worth the sum of his ______.",1
"A wife is a luxury... ______ is a necessity.",1
"A wise man can hear ______ in the wind.",1
"A ______ is a ______.",2
"After you've exploited ______, it never hurts to thank them. That way it's easier to start ______ next time.",2
"Always have sex with ______.",1
"Always inspect ______ before ______.",2
"Anything worth doing is worth doing for ______.",1
"Ask not what ______ can do for you, but what ______ can do for your profits.",2
"Beware of the Vulcan greed for ______.",1
"Beware the man who doesn't make time for ______.",1
"Deep down, everyone's ______.",1
"Duck; ______ is tall.",1
"Even with the worst ______, someone turns a profit.",1
"Even ______ can recognize the flow of ______.",2
"Every man has his ______.",1
"Every once in a while, declare peace. It confuses the hell out of ______.",1
"Everything is for sale, even ______.",1
"Expand or ______.",1
"Faith moves mountains... of ______.",1
"Females and ______ don't mix.",1
"Free ______ are seldom cheap.",1
"Free ______ is seldom cheap.",1
"Good things come from ______.",1
"Good ______ are as rare as latinum. Treasure them.",1
"Hear all, trust ______.",1
"Home is where the heart is, but ______ are made of latinum.",1
"If you're ______, I'll charge you for it.",1
"If you're ______, they're ______.",2
"It never hurts to suck up to ______.",1
"It's always good to know about new ______ before they walk in your door.",1
"It's never too late to ______.",1
"Keep your ______ consistent.",1
"Keep your ______ open.",1
"Know your enemies... but do ______ with them always.",1
"Knowledge equals ______.",1
"Learn ______'s weaknesses so you can take better take advantage of them.",1
"Let others keep their ______. You keep their ______.",2
"Money is money, but females are ______.",1
"Nature decays, but ______ lasts forever.",1
"Never allow doubt to tarnish your lust for ______.",1
"Never allow family to stand in the way of ______.",1
"Never allow ______ to stand in the way of ______.",2
"Never allow ______ to tarnish your lust for ______.",2
"Never ask, when you can take ______.",1
"Never be afraid to mislabel ______.",1
"Never begin ______ on an empty stomach.",1
"Never cheat ______... unless you can get away with it.",1
"Never confuse ______ with ______.",2
"Never have sex with the boss's ______.",1
"Never have ______ with the boss's sister.",1
"Never let the competition know that you're ______.",1
"Never make fun of a Ferengi's ______.",1
"Never place ______ above ______.",2
"Never spend more for ______ than you have to.",1
"Never trust a man wearing a better ______ than your own.",1
"Never trust a man with better ______ than your own.",1
"Never trust anybody taller than ______.",1
"New customers are like ______. They can be succulent, but sometimes they bite back.",1
"No good ______ ever goes unpunished.",1
"No ______ ever goes unpunished.",1
"Not even ______ can tarnish the shine of profit.",1
"Nothing is more important than your health... except for ______.",1
"Once you have their ______, never give it back.",1
"Once you have their ______, you never give it back.",1
"Only fools pay for ______.",1
"Opportunity plus ______ equals ______.",2
"Peace is good for ______.",1
"People love ______.",1
"She can touch your ______, but never your ______.",2
"Sleep can interfere with ______.",1
"Small ______ lead to large ______.",2
"Sometimes the only thing more dangerous than a question is ______.",1
"Sometimes the only thing more dangerous than ______ are ______.",2
"Sometimes ______ cost entirely too much.",1
"Take joy from ______, and profit from ______.",2
"The best deal is the one that brings the most ______.",1
"The bigger the ______, the sharper the knife.",1
"The flimsier the ______, the higher the price.",1
"The justification for profit is ______.",1
"The riskier the ______, the greater the profit.",1
"The riskier the ______, the greater the ______.",2
"There is no substitute for ______.",1
"There's no honor in ______.",1
"There's nothing more dangerous than ______.",1
"There's nothing wrong with ______... as long as it winds up in ______.",2
"Time, like ______, is a highly limited commodity.",1
"Treat people in your debt like ______... exploit them.",1
"War is good for ______.",1
"When no appropriate rule applies, start ______.",1
"When the messenger comes to appropriate ______... kill the messenger.",1
"When ______ leaves, it's all over.",1
"When ______, lie.",1
"Whisper your way to ______.",1
"Why ask, when you can start ______.",1
"Win or lose, there's always ______.",1
"You can't buy ______.",1
"You can't free a fish from ______.",1
"You can't make ______ if you're ______.",2
"______ and an empty sack is worth the ______.",2
"______ are the rungs on the ladder of success. Don't hesitate to step on them.",1
"______ begins at home.",1
"______ can afford anything except ______.",2
"______ come in threes.",1
"______ decay, but latinum lasts forever.",1
"______ divided by ______ equals ______. (Also known as the &acirc;&euro;&oelig;velocity of wealth&acirc;&euro;ù)",3
"______ doesn't always equal reward.",1
"______ is easier to believe than the truth.",1
"______ is eternal.",1
"______ is good for business.",1
"______ is good. ______ is better.",2
"______ is its own reward.",1
"______ is never enough.",1
"______ is not guaranteed.",1
"______ is the biggest liability of all.",1
"______ lasts longer than lust.",1
"______ or die.",1
"______ plus ______ equals profit.",2
"______ serve, ______ inherit.",2
"______ will cost you everything.",1
