text,blanks
"According to the Daleks, ______ is better at ______.",2
"Adipose were thought to be made of fat, but are really made of ______.",1
"After we watch an episode, I've got some ______-flavored Jelly Babies to hand out.",1
"At this new Doctor Who themed restaurant, you can get a free ______ if you can eat a plate of bangers and mash in under 3 minutes.",1
"Bowties are ______.",1
"FUN FACT: The Daleks were originally shaped to look like ______.",1
"I hear the next thing that will cause The Doctor to regenerate is ______.",1
"I think the BBC is losing it. They just released a Doctor Who-themed ______.",1
"I was okay with all the BAD WOLF graffiti, until someone wrote it on ______.",1
"I'd give up ______ to travel with The Doctor.",1
"In all of time and space, you decide that ______ is a good choice?!",1
"It's a little-known fact that if you send a ______ to the BBC, they will send you a picture of The Doctor.",1
"Jack Harkness, I can't leave you alone for a minute! I turn around and you're trying to seduce ______.",1
"Old and busted: ""EXTERMINATE!"" New hotness: ______.",1
"Originally, the 50th anniversary special was going to have ______ appear, but the BBC decided against it in the end.",1
"The Chameleon circuit is working again... somewhat. Instead of a phone booth, the TARDIS is now a ______.",1
"The Doctor did it! He saved the world again! This time using a ______.",1
"The next Doctor Who spin-off is going to be called ______.",1
"The voice chip of one of the Cybermen has malfunctioned. Instead of saying ""DELETE!"", it now says ""______"".",1
"There's a new dance on Gallifrey, it's called the ______.",1
"They announced a LEGO Doctor Who game! Rumor has it that ______ is an unlockable character.",1
"They found some more lost episodes! They were found in ______.",1
"What's going to be The Doctor's new catch phrase.",1
"Who is going to be The Doctor's next companion?",1
"Who should be the 13th doctor?",1
"Wibbly-wobbly timey-wimey ______.",1
"______ was sent to save ______.",2
