text,blanks
"""These new ______ t-shirts are gonna change some lives, Arin.""",1
"""You want cheese pizza?"" ""No. ______.""",1
"...What the bloody hell are you two talking about?!______,",1
"And then, as a fuckin' goof, I'd put a hole in ______.",1
"And there it was...Kirby had finally met the ______ of the lost city.",1
"Arin believes that the most important part of any video game is ______.",1
"Arin has an adverse reaction to ______.",1
"Barry entertains himself by watching old episodes of ______.",1
"BARRY! SHOW ______ AGAIN!",1
"Barry's sheer skill at ______ is unmatched.",1
"Barry, add ______ into the video!",1
"Barry, we need a replay on ______.",1
"COME ON AND ______, AND WELCOME TO THE ______!",2
"Do you remember the episode where Ash caught a ______?",1
"Don't throw ______! It's expensive to somebody!",1
"Dude, real talk? ______.",1
"Eat your ______, son.",1
"Egoraptor's fiancee is actually a ______.",1
"Everybody wants to know about me, but they don't know about my ______.",1
"Fool me once, I'm mad. Fool me twice? How could you. Fool me three times, you're officially ______.",1
"For my first attack, I will juggle ______ to impress you.",1
"Fuck, I found a ______.",1
"Game Grumps: sponsored by ______.",1
"Give ______ a chance! He'll grow on you!",1
"How many nose hairs does ______ have?",1
"How many ______ does Mega Man get?",1
"I certainly can't do it without you, and I know you can't do it without ______!",1
"I don't like the ______ flavor.",1
"I tell you once, I tell you twice! ______ is good for economy!",1
"I wanna put my ______ in her!",1
"I'm not even SELLING ______!",1
"I've been ______ again!",1
"IF I CAN'T BE ______, I SURE AS HELL CAN BE ______!!",2
"If the ______ wasn't there, I would do. But it's there, so it's not.",1
"If you don't know what ______ is, you can't go to ______.",2
"If ______ evolved from ______, why the fuck is there still ______, dude?!",3
"In this corner, ______; in the other corner, ______; it's Game Grumps VS!",2
"Is there anything to gain from this?______,",1
"It's no use! Take ______!",1
"Jon and Arin suck at ______.",1
"Jon and Arin win! They realize ______ is more important.",1
"Jon believes that the most important part of any video game is ______.",1
"Jon can't get enough of ______.",1
"Jon can't survive air travel without ______.",1
"Jon just wants to touch ______.",1
"Jon's mom called him to tell him about ______.",1
"JON'S ______, SHOW US YOUR ______.",2
"Kirby has two iconic abilities: suck and ______.",1
"Listen to the ______ on this shit.",1
"Look at that ______-ass ______!",2
"Look at this guy, he's like ______.",1
"Look, it's ______!",1
"Next time on Game Grumps, ______!",1
"Nightshade: The Claws of ______.",1
"Number one! With a bullet! Zoom in on the ______!",1
"Oh, it's ______!",1
"One slice of ______ please.",1
"Pikachu, use your ______ attack!",1
"Put a hole in that ______!",1
"Real talk? Is that ______ ______?",2
"Real talk? ______.",1
"Rolling around at the speed of ______!",1
"The Grumps' latest silly player names are ______ and ______.",2
"This time on Guest Grumps, we have ______.",1
"Top five games, go! 1? Mega Man X. 2-5? ______.",1
"Use your ______!",1
"Welcome back to ______.",1
"Welcome to Sonic Team! We make ______, I think!",1
"What am I willing to put up with today?______,",1
"What can be found in Arin's chins?______,",1
"What do Mumbo's magic words mean?______,",1
"What is the boopinest shit?______,",1
"WHAT THE FUCK IS A ______?!",1
"What's better than Skyward Sword?______,",1
"What's the real reason Jon left?______,",1
"When I look in the mirror I see ______.",1
"Who replaced Jon when he left GameGrumps?______,",1
"Who's an asshole?______,",1
"Why is Steam Train so controversial?______,",1
"WOOP WOOP WOOP I'M A ______!",1
"You know what fan mail makes me the happiest every time I see it? It's the ones where people are like, ""______.""",1
"You're ruining my integrity! ______ won't hire me now!",1
"______ don't even cost this less!",1
"______ Grumps!",1
"______ has aged really well.",1
"______ is GREAT GREAT GREAT!",1
"______ is Jon's favorite video game of all time.",1
"______ is not Jon's strong suit.",1
"______ Train!",1
"______ WINS!",1
"______. I AAAAAAIN'T HAVIN' THAT SHIT!",1
"______. It's no use!",1
"______. MILLIONS ARE DEAD!!!",1
"______. Put that in, Barry.",1
"______. This is like one of my Japanese animes!",1
"______: Better than deer shit!",1
"______? Pretty smart. ______? Pretty fuckin' smart. ______? FUCKING GENIUS!!!!",3
"______? Ten-outta-ten!",1
