text,blanks
"A Dothraki wedding without ______ is considered a dull affair.",1
"A Lannister always pays ______.",1
"A man without ______ is a man without power.",1
"After a tragic encounter with ______, the Kingslayer's hand was replaced with ______.",2
"After I was caught ______, I was forced to join the Night's Watch.",1
"All hail ______! King of ______!",2
"All men must ______.",1
"At the Red Wedding, Robb Stark lost his ______.",1
"Because of ______, Danerys was called ______ by everyone.",2
"Before losing his package, Varys's favorite passtime was ______.",1
"Before losing his package, Varys's favorite pastime was ______.",1
"Brace yourselves, ______ is coming.",1
"Chaos is a ______.",1
"Daenerys Targaryen, 1st of Her Name, Queen of Meereen, The Andals, The Rhoynar and The First Men, Lord of the 7 Kingdoms, Khaleesi of the Great Grass Sea, ______, The Unburnt, Mother of Dragons.",1
"Daenerys Targaryen, First of Her Name, Queen of Meereen, The Andals, The Rhoynar and The First Men, Lord of the Seven Kingdoms, Protector of the Realm, Khaleesi of the Great Grass Sea, Breaker of Chains, ______, The Unburnt, Mother of Dragons.",1
"Daenerys Targaryen, First of Her Name, Queen of Meereen, The Andals, The Rhoynar and The First Men, Lord of the Seven Kingdoms, Protector of the Realm, Khaleesi of ______, ______, ______, ______, Mother of Dragons.",4
"Dark wings, dark ______.",1
"Describe Game of Thrones with one card.",1
"Despite his best efforts, King Robert filled his reign with ______.",1
"Everyone fears ______'s ______.",2
"First lesson, stick them with ______.",1
"Having fallen prey to ______, the King lies dying.",1
"Hodor only ever says ______.",1
"I hereby sentence you to die by ______!",1
"I may be ______, but I won’t be ______ while I have men fight for me.",2
"I prayed to the Gods &ldquo;Take ______ away. Make it die.&rdquo;",1
"I will take what is mine with ______ and ______.",2
"I'll take what is mine with ______ and ______.",2
"If I had a direwolf, I'd name it ______.",1
"If Ned Stark had ______, he never would have ______.",2
"If Westeros had porn, the most popular would feature ______ and ______.",2
"If you can't defeat your enemies in battle, there's always ______.",1
"In exchange for his sister, Viserys was given ______.",1
"In his next book, George RR Martin will spend 500 pages to describe ______.",1
"In his next book, GRRM will spend 500 pages to describe ______.",1
"In the game of ______ you win or you ______.",2
"In the House of the Undying, Danny saw a vision of ______.",1
"In the House of the Undying, Dany saw a vision of ______.",1
"In the name of ______, first of his ______.",2
"In the next Game of Thrones book, George R. R. Martin said ______ will ______.",2
"In ______, you win or you lose.",1
"It is rare to meet a Lannister who shares my enthusiasm for ______.",1
"I’m not going to stop ______. I’m going to break ______.",2
"I’ve known a great many clever men. I’ve outlived them all. Do you know why? I ignored ______.",1
"Khal Drogo's morning ritual included ______ and ______.",2
"Last time Cersei had too much to drink, she had a bad experience with ______.",1
"Littlefinger's nickname was a direct result of ______.",1
"Maester Luwin forged one of his links by ______.",1
"My brother has his ______, and I have my ______.",2
"My mother taught me not to throw stones at ______, but my father taught me: aim for ______!",2
"My worst nightmare is meeting ______ face to face.",1
"Olly, bring me ______",1
"On her wedding day, Daenerys was presented with ______.",1
"One needs ______ to make the eight.",1
"PICK 2 The mind needs ______ like a sword needs a ______.",2
"Robert Baratheon secretly gave ______ to each of his bastards at their births.",1
"The man who passes the sentence should swing the ______.",1
"The mind needs ______ like a sword needs a ______.",2
"The next Game of Thrones book will be titled ______ of ______.",2
"The next time you raise a hand to me will be the last time you have ______!",1
"The night is dark and full of ______.",1
"The only game that matters is ______.",1
"The things I do for ______.",1
"There is no word for ______ in Dothraki.",1
"There is only one thing we say to ______: &ldquo;Not today&rdquo;.",1
"Varys sometimes wishes his missing goods were replaced with ______.",1
"What is ______ may never die.",1
"When Daenerys emerged from the fire, her first wish was ______.",1
"When King Joffrey wants to have fun, he asks for ______.",1
"When traveling the Kingsroad, one should always bring ______ for good luck.",1
"When travelling the Kingsroad, one should always bring ______ for good luck.",1
"You know ______, Jon Snow.",1
"Your joy will turn to ______ in your mouth.",1
"You’re shit at ______, you know that?",1
"______ cuts deeper than swords.",1
"______ for me, little bird.",1
"______ have always preyed on ______.",2
"______ is coming.",1
"______ was proclaimed the true king of the Seven Kingdoms.",1
"______ won the Iron Throne with the help of ______.",2
