text,blanks
"Are you troubled by ______ in the middle of the night? Do you experience ______ in your basement or attic? Have you or any member of your family ever seen ______?",3
"As a duly designated representative of the city, county, and state of New York, I order you to cease ______.",1
"At first, the baby was fussy, but then we gave him ______ and he went right to sleep.",1
"Being ______ and treating other people like ______ is every New Yorker's God-given right.",2
"Find me ______, that I might live again!",1
"I'm studying the effects of ______ on psychic ability.",1
"If there's a steady paycheck in it, I'll believe ______.",1
"It's the Scoleri Brothers! I tried them for ______, gave them ______!",2
"Okay, who brought the ______?",1
"On a mountain of ______, in a castle of ______, I sat upon a throne of ______.",3
"That's the bedroom, but ______ happened in there.",1
"There is no ______, only Zuul.",1
"There seem to be six million completely miserable assholes ______ in the tri-state area.",1
"This is Prince Vigo, ruler of ______.",1
"We're exterminators. Somebody saw ______ up on twelve.",1
"Well, there are already so many holes in 1st Avenue, we didn't think anyone would notice ______.",1
"What horrifying thing was lurking in the refrigerator?",1
"When someone asks you if you're ______, you say YES!",1
"When you started introducing me as ______. That's when I left.",1
"Who you gonna call?",1
"Yes, it's true. This man has no ______.",1
"______, and you want to keep it?",1
