text,blanks
"""What are you thinking?"" ""You know, ______ and stuff.""",1
"BENCH ALL THE ______.",1
"Cindi suddenly turned into Steven after ______.",1
"Connie the Condor often doesn't talk on skype because of ______.",1
"Every weekend, Golby enjoys drinking ______ before getting into a fight with ______ and having sex with ______.",3
"Every weekend, Golby likes to ______ then ______ before finally ______.",3
"Hey guys, check out my ______ montage!",1
"I got a new tattoo, it looks a bit like ______.",1
"It's DJ Manny in the hizouse, playing ______ all night long!",1
"Jorgi the Corgi most definitely enjoys ______.",1
"On a night out, Golby will traditionally get into a fight with a ______ then have sex with a ______ before complaining about a hangover from too much ______.",3
"The OGN was fun, but there was far too much ______ cosplay.",1
"Tom is good, but he's not ______ good.",1
"What strange Korean delicacy will Mark enjoy today?______,",1
"When Barta isn't talking he's ______.",1
"You're so ______ I'll have to delete you.",1
"______ + ______ = Golby.",2
"______ is camping my lane.",1
