text,blanks
"/r/ ______.",1
"35% of all hackers have to deal with ______.",1
"All I did was ______ but someone gave me a red card",1
"Am I the only one around here who ______",1
"But does ______ run NetBSD?",1
"Closing Ceremonies drinking game: Every time ______ is mentioned... DRINK!",1
"Come to the dark side, we have ______.",1
"Confession Bear Says: ______",1
"Def Con Kids will now focus on teaching young hackers ______.",1
"Do you even ______?",1
"Drink all the ______. Hack all the ______.",2
"Go Go Gadget ______!",1
"Go home ______, you're drunk",1
"High Tech start-up company combines ______ with ______.",2
"HOLY ______ BATMAN!!",1
"I can haz ______.",1
"I can't believe they rejected my talk on ______",1
"I find your lack of ______ disturbing",1
"I have the biggest ______, ever!",1
"I look like a geeky hacker, but I don't know anything about ______.",1
"I spotted the fed and all I got was ______.",1
"I use ______ to secure all of my personal data.",1
"I used to be a hacker like you, until I took a(n) ______ to the knee",1
"I work 80 hours a week and still can't afford a ______",1
"I would be doing more with my life, except for this ______ in the way",1
"I'm fucking tired of hearing about ______.",1
"I'mma let you finish but ______ is the best ______ of all time.",2
"In a Congressional hearing, US CYBERCOM commander Gen. Alexander claimed the latest data breach was due to ______",1
"In a shocking move Archive.org decided to NOT back up ______.",1
"It smells like ______ in this room.",1
"It's dangerous to go alone. Take ______.",1
"Keep calm and ______",1
"Las Vegas is best known for ______",1
"Most hackers smell like ______.",1
"My extremely large ______ is what makes me better then you",1
"My ______ brings all the ______ to the yard",2
"Name something you should never do naked",1
"Next time we meet we should ______",1
"Next year's scavenger hunt is rumored to include finding a ______ with a ______",2
"Not another ______ in the hotel elevator!",1
"Occupy ______.",1
"On the Internet, no one can tell you're ______.",1
"One day, over my fireplace, I'm going to have a massive painting of ______. You know, to remind me where I came from.",1
"One does not simply ______.",1
"Only half of programming is coding. The other 90% is ______",1
"Our most powerful weapon for the Zombie Apocalypse will be ______",1
"Rock, Paper, Scissors, Lizard, ______",1
"Rule 34 ______",1
"Security through obscurity is better than ______",1
"So long and thanks for all the ______",1
"The Ada Inititive is now attacking ______",1
"The best part of Alexis Park was all the ______",1
"The Maker Faire was unexpectedly interrupted by ______",1
"The next cyber war will feature ______.",1
"The only winning move is to ______.",1
"The snozberries taste like ______.",1
"These are not the ______. you are looking for",1
"Today's PaulDotCom podcast featured ______",1
"Tonight's Final Hacker Jeopardy category will be ______!",1
"TSA wouldn't allow me through because of my ______.",1
"We decided to ______ to raise money for the EFF.",1
"We should take ______ and push it ______",2
"Well, guess what? I&rsquo;ve got a fever, and the only prescription is more ______.",1
"Well, guess what? I've got a fever, and the only prescription is more ______.",1
"When I get drunk I am an expert on ______",1
"Where can I download more RAM?",1
"While alone in the server room I ______",1
"Y U NO ______!!!!!",1
"______ A'int Nobody Got Time For Dat!!",1
"______ is a better replacement for crypto",1
"______ is also monitored by Prism",1
"______ is now outsourced to call centers in India",1
"______ is what keeps us together",1
"______ Killed the barrel roll",1
"______ makes me puke rainbows",1
"______ Put a bird on it!",1
"______ riding a Segway",1
"______ shot first",1
"______. There's an app for that!",1
"______. This is why I cant have nice things!",1
"______: You keep using that term. I do not think it means what you think it means.",1
