text,blanks
"""All Hallow's Eve has become a night of frolic, where children wear ______ and run amok!""",1
"""All work and no play makes Jack a ______.""",1
"""Double Double, ______ and trouble.""",1
"""I want to stab you to death, and then play around with your ______.""",1
"""I wish it was Halloween everyday!"" said, ______.",1
"""I""ve seen enough horror movies to know any ______ wearing ______ is never friendly.""",2
"""It's Halloween, everyone's entitled to one good ______.""",1
"""That cold ain't ______. It's death approaching.""",1
"Ahhh! I'm lost in a corn maze shaped like ______.",1
"All Hallow's Eve has been cancelled this year due to ______.",1
"All I got in my trick-or-teat bag is ______.",1
"And to cast my first spell, I say the magic words: ______.",1
"As I gaze into my crystal ball, I see no ______ in your future.",1
"As the blood oozes from my fatal wound, I utter my last words: ______.",1
"At the Halloween party, they served ______-flavored jello shots.",1
"Attack of the killer ______s.",1
"Best couples costume ever. ______ and ______.",2
"Cause this is thriller, thriller night, And no one's gonna save you from ______.",1
"Cause this is Thriller, Thriller night. And nothing's gonna save you from the ______ about to strike!",1
"Charlie Brown's ""The Great ______"", a reboot.",1
"Don't you dare say ""______"" thrice in the mirror.",1
"Final Destination 12: ______.",1
"For a last second costume spray your self with calk and roll around in dirt, rocks, and grass clippings and go as ______.",1
"Here's our zombie escape plan. 1. ______, 2. ______.",2
"I almost dressed up as Spiderman, but went with Plan B: ______, instead.",1
"I cannot believe that ______ has the same costume as me.",1
"I put a spell on you, and now you're ______.",1
"I ran out of candy so I had to start handing out ______.",1
"I was too scared for The Haunted House, so I used ______ as an excuse.",1
"I was working in the lab, late one night, When my eyes beheld an eerie sight: ______.",1
"I wouldn't be caught dead dressing as ______ this year. It is SO overdone.",1
"I'm not superstitious, but I never step on ______, or I'll break my momma's back.",1
"I'm not superstitious, but if ______ ever crosses your path, you get seven years bad luck.",1
"I'll bet living in ______ takes all the fun out of Halloween.",1
"I've got it. It was ______, in the kitchen, with the ______!",2
"If Halloween is the best holiday, what's the second best? ______ Day.",1
"If I had a supernatural power, what would it be?",1
"It is said the Headless Horseman comes to collect ______ each year on Halloween.",1
"Mmmmmm...Pumpkin-flavored ______!",1
"My favorite scary movie is ""Deathcicle"", starring ______ as the abominable snowman.",1
"My favorite scary movie is ______, starring Michael Cera and a wooden shoe.",1
"My pumpkin bears an eery resemblance to ______. It's uncanny.",1
"Never say, ""______"". It's a death wish.",1
"Nothing beats a haunted ______ on All Hallow's Eve.",1
"Of all the Halloween treats, ______ gives me the best sugar rush.",1
"Oh great, now a pitchfork-wielding mob is here to run ______ out of town.",1
"Perhaps dressing up as ______ for the company Halloween party was ill-advised.",1
"The best hipster costume was ______ this year.",1
"The Disney Channel proudly presents: ______: A Halloween Musical.",1
"The hottest costume for boy's is Teenage Mutant Ninja ______.",1
"The hottest girl's costume is My little ______: Equestria Girls.",1
"The hottest lady's costume is sexy ______.",1
"The hottest men's costume is ______ from Breaking ______.",2
"The secret ingredient to my Halloween punch, you ask? Just a splash of ______.",1
"The thing I like best about Devil's Night is ______.",1
"The trick-or-treaters thought I'd joined in the fun and was dressed as ______, but really I was just wearing my regular clothes.",1
"The winner of the costume contest was a guy who dressed up as ______.",1
"This year I'm going to carve my Halloween pumpkin to look like ______.",1
"This years Halloween party theme is:",1
"Trick or Treat, Smell my Feet, Give Me ______ to eat!",1
"Using Tinder on Halloween is a great idea because of ______.",1
"Wal-mart got in trouble for selling child-sized ______ costumes.",1
"Walmart's newest lawsuit? It's over their child-sized ______ costumes.",1
"Welp, I never thought I'd see a sexy ______ tonight, that's for sure!",1
"What am I giving out to trick-or-treaters this year?",1
"What did I dress up as last year?",1
"What should I go as this year?",1
"What's Dracula's favorite thing to suck?",1
"What's in the box? What's in the box? WHAT'S IN THE BOX?!",1
"Whatever you do, don't dress your baby up as ______.",1
"When Scooby Doo and the gang took the monster's mask off, underneath they found ______.",1
"When the leaves start fallen', ______ comes a-callin'.",1
"Who would think that ______ would make a good costume?",1
"Why can't I fall asleep?",1
"Why does my spouse/fiance/life partner wants to go as ______?",1
"Witches Brew: I heard they recently added more ______ to it.",1
"Wow, I never thought I'd see someone manage to dress as a sexy version of ______ but I did tonight.",1
"Y.O.L.O. Unless you're ______.",1
"You can make any costume sexy, just add ______.",1
"You can't have a Halloween party without bobbing for ______.",1
"______ and ______ are this years hottest couples costumes.",2
"______ is the ghost story that sends chills down my spine.",1
"______ made me pee my pants from sheer terror.",1
"______ makes a great accessory to a costume.",1
"______ makes a great accessory to any costume.",1
"______ will haunt my dreams tonight.",1
"______. Do not feed after midnight. And don't get them wet.",1
"______. It's magic.",1
"______. That's what I want written on my tombstone.",1
"______. The stuff nightmares are made of.",1
"______. Worst. Costume. Ever.",1
