text,blanks
"At my fathers funeral, what did I put in the casket with him?",1
"I Fear ______ more than death.",1
"I got pulled over the other day because ______. Apparently, that's a crime.",1
"I hope my father never finds out about my ______.",1
"I worked my way through college ______.",1
"I'd rather die of ______ then ______.",2
"Know knock who's there?",1
"MTV's true life: I'm ______.",1
"Now that my computer has a virus, pop-ups of ______ apear every time I go on the internet.",1
"She said ""No"", but I could tell by the way she was looking at me that she really wanted ______.",1
"South Park is now making fun of ______.",1
"The best part of waking up is ______ in your cup!",1
"The Onion totally crossed the line when they called that 9 year old a ______.",1
"What did I really do to make eagle scout?",1
"Why does it hurt when I pee?",1
