text,blanks
"A boy's best friend is ______.",1
"All you have to bring is your love of ______. Beautiful Mount Airy Lodge.",1
"Book Him! What'&trade;s the charge? He'&trade;s ______.",1
"Carpe diem. Seize the day, boys. Make ______ extraordinary.",1
"Cinderella story. Outta nowhere. A former greenskeeper, now, about to become the Masters champion. It looks like ______... It's in the hole! It's in the hole! It's in the hole!",1
"Come quietly or there will be... ______.",1
"Dead or alive, you're coming with ______.",1
"Excuse me, I have to go. Somewhere there is ______.",1
"Frankly, my dear, I don't give ______.",1
"Gentlemen, you can't fight in here! This is ______!",1
"Houston, we have ______.",1
"How does he eat? The digestive system is extremely simple, this processor dispenses ______ that sustains his organic systems.",1
"I had to kill Bob Morton because he made ______. Now it'&trade;s time to erase that mistake.",1
"I have always depended on ______ of strangers.",1
"I know you! You're dead! We killed ______!",1
"I'&trade;d buy ______ for a dollar!",1
"I'm going to make him ______ he can't refuse.",1
"I'm king of ______!",1
"I'll get you, my pretty, and ______, too!",1
"If it bleeds we can kill ______.",1
"Keep your friends close, but ______ closer.",1
"Life is ______, and most poor suckers are starving to death!",1
"Madame, you have suffered an emotional shock. I will notify ______.",1
"Mama always said life was like a box of ______. You never know what you're gonna get.",1
"Murphy had a wife and son. What happened to them? Well, after ______ she moved away.",1
"Murphy, it's ______!",1
"Nice shooting, son. What's your name? ______.",1
"Nobody puts Baby in ______.",1
"One morning I shot ______ in my pajamas. How he got in my pajamas, I don't know.",1
"Robo, excuse me, Robo, any special message for all the kids watching at home? Stay out of ______.",1
"Sawyer, you're going out ______, but you've got to come back a star!",1
"Say ""hello"" to ______!",1
"See, I got this problem. ______ don't like me. So I don't like ______.",2
"Someone made ______ just for me. Food Emporium. Food Emporium.",1
"Surely you can't be serious. I am ______... and don't call me Shirley.",1
"Take ______ off me, you damned dirty ape.",1
"Tell 'em to go out there with all they got and win just one for ______.",1
"They'll fix you. They fix ______.",1
"Today, I consider myself ______ on the face of the earth.",1
"Toto, I've got a feeling we're not in ______ anymore.",1
"What are your Prime Directives? Serve ______, protect ______, uphold the law.",2
"You don't understand! I coulda had class. I coulda been ______.",1
"You know how to whistle, don't you, Steve? You just put ______ together and blow.",1
"You're gonna need ______.",1
"Your client's a scumbag, you're a scumbag, and scumbags see the judge on Monday morning. Now get out of my office, and take ______ with you!",1
"______. Shaken, not stirred.",1
