text,blanks
"A ______ a day keeps the ______ away.",2
"Baskin Robbins just added a 32nd flavor: ______!",1
"I can drive and ______ at the same time.",1
"I just met you and this is crazy, but here's ______, so ______ maybe",2
"I'm sweating like a ______ at a ______.",2
"It's only ______ if you get caught!",1
"So I was ______ in my cubicle at work, and suddenly ______!",2
"Terminator 4: ______",1
"You're not gonna believe this, but ______.",1
"______ ain't nothin' to fuck wit'!",1
"______. The other white meat.",1
"______: The Next Generation",1
