text,blanks
"""______ smuggled into Syria.' That's gonna change my life drastically.",1
"A grilled Charlie has peanut butter last. Peanut butter outside. ______ inside. Butter inside. ______ outside.",2
"All right, listen to me, Dee. The slow and painful crawl to death is an inevitable part of ______. So just embrace it, all right?",1
"All right, look man, I think I got a plan to get us out of this, but I need you to do the ______ thing. Can you do that?",1
"And you know what happens with ______? It leads to bickering. They always bicker. Which, of course, leads to karate.",1
"Any minute now, ______ is gonna knock on that wall, which is my signal to go in my pants, take out my penis and stick it through the hole.",1
"Are those those stupid cards where babies are doing ______? Uh, no. They're the amazing cards where babies are ______.",2
"Are you kidding me? ______ is, like, a thousand times more expensive than ______.",2
"Be strong, Bonnie. Be strong for ______. Now is not the time for ______.",2
"Because chicks want ______ not ______.",2
"Bro, can you believe how many hot chicks showed up for ______? How have we not done this before?",1
"Charlie, it is a war on ______. We have decided to help the people of Israel, to give our oil back to us, by defeating ______.",2
"Charlie, what the hell is this play about?",1
"Christopher Murray, a teacher at St. Vincent's Elementary has been accused of sexually abusing ______.",1
"Come to Philly for ______.",1
"Competitions like this aren't about ______. They're about ______.",2
"Cuz' nothing scares gays and black folks like ______.",1
"Dear Diary: ______ was a total disaster. I cried myself to sleep again last night.",1
"Dennis Reynolds: ______.",1
"Dennis, if I was looking for safe, I wouldn't be ______.",1
"Dennis, you would not believe how great ______ is. People give you free shit, and women treat you like ______.",2
"Do not plug an open wound with ______.",1
"Dude, if you don't think you're ______, you need to take a long look at yourself.",1
"Everyone's looking for the easy way out. Don't wanna carry ______? Just throw it in the street. Don't want to take care of ______? Throw it in a dumpster.",2
"Family and friends, we're gathered here to to share in the declaration of a lifelong commitment between this man and ______.",1
"Feast your eyes on your new business: ______.",1
"Good afternoon, Philadelphia. We're here in Chinatown where a large crowd has gathered for what can only be ______.",1
"Guys, I have good news! I've been reading up on the subject of ______. It turns out that it isn't about sex after all. It's about ______.",2
"Guys, we got a Code Red on our hands! Oh, my God, check it out. Now according to my sources in the field, ______ is ______.",2
"Having reviewed every bar in Philadelphia, I hereby officially declare Paddy's Pub to be ______.",1
"He eats ______? That's awesome!",1
"He knew that if ______ were to get their hands on ______, they would take it. So he shoved it up his ass!",2
"Hey, Frank you got a guy that does ______?",1
"Hi. Um, I'm a recovering crackhead. This is ______ that I take care of. I'd like some welfare, please.",1
"Hobos are always ______.",1
"How do you catch a cricket? With ______.",1
"How do you show love? You go and have sex with ______. So that's what I did too!",1
"How does hunting ______ make you a good hunter? You know, a really great hunter would go after something that can hunt him back. Like ______!",2
"I am not ______!",1
"I can absolutely keep______ as a pet, bro It's no different than having ______ or ______.",3
"I can't even talk to you anymore. Standing up for yourself. Standing up for ______!",1
"I do not want to start ______ because that sounds boring as shit.",1
"I don't have ______ fetish. i don't want to bang ______.",2
"I don't know if you've been ______ recently but there are millions to be made here, my friend.",1
"I don't really know what happened, okay? First, I was angry. Then, I was ______. Next thing I know, I'm following this guy home and forcing him into ______.",2
"I don't think people are proud to be ______ anymore. You know, not like we were in the 80's.",1
"I found ______ in the back office. Yeah, so, maybe I'm not such a bad guy for passing out in there and ______ or whatever.",2
"I guess the road to stardom is paved with hard knocks and ______.",1
"I hate listening to people's dreams. It's like flipping through a stack of photographs. If I'm not in any of them, and nobody's ______, I just... don't care.",1
"I hate to say this, bro, but I think Mac's ______.",1
"I hate ______. I hate them because they are ______, and they shouldn't be. They should be ______, and they should be loved.",3
"I have a friend. His name is Wendell. He showed me funny movies with ______ in them. He gives me juice boxes that make me sleepy. He's silly. He's ______. He makes me taste things I don't want to. He puts ______ in my heinie.",3
"I just signed the bar up to host ______ competition that's gonna be hosted live by the Q Crew on 102 Radio!",1
"I mean, a lot of presidents somehow end up ______. I mean, look at Ronald Reagan, right?",1
"I spent a little time in Afghanistan. We were doing a literacy program for ______ who were resisting ______.",2
"I think audiences are going to be very uncomfortable seeing ______ going into this young girl that you're talking about.",1
"I think you'll find that what we lack in ______, we more than make up for in ______.",2
"I think ______ is too depraved, even for me.",1
"I was hunted once. I just came back from Nam. I was ______ and some cop started harassing me. Next thing you know, I had ______ chasing me through the woods. I had to take 'em all out. It was a bloodbath.",2
"I will stalk the streets and live in the shadows of the night until ______ run red with their blood!",1
"I woke up in my neighbor's bed with ______, ______, and ______, and my nightmare in that putrid, shithole of a bar, Paddy's Pub, finally, mercifully came to an end.",3
"I'm gonna stop you right there. First of all, your breath smells like ______. Secondly, I know you're trying to manipulate ______, and it's not going to work.",2
"I'm pretty sure ______ are raping ______. They're raping the shit out of it.",2
"I'm sorry. I can't concentrate when I'm about to get blasted in the face with ______.",1
"I'm talking about the spirit of ______ is like ______. It's a metaphor.",2
"I'm ______. Uh, I played quarterback for the Philadelphia Eagles, and I'm here to tell you that you can, too, if you start every day with ______.",2
"I've been writing a little movie script of my own. It's a horror movie about ______ trapped in a garage stairwell, who get hunted down by a psychotic homeless killer who turns out to be______ instead.",2
"I've been ______ for, like, almost my entire life. I think I know a thing or two about ______, Dee, all right?",2
"If we were ______, it would be with class, right, I mean, because we're worth it.",1
"If ______ got blown and ______ got blown then why didn't I get blown?",2
"In this country, in the real world, people make money. Somebody is gonna make a ton of money off ______. I want it to be you.",1
"Is that your end game here? ______?",1
"Is that ______ in your pants?",1
"Is there anything about this place that you don't like?",1
"Is your cat making too much noise all the time? Is your cat constantly ______, driving you crazy?! Is your cat clawing at ______? Think there's no answer? You're so stupid! There is! ______.",3
"It sends a message, Dee. ______ wore the same, exact outfit when ______ in the 1970s.",2
"It's Always Sunny in ______.",1
"It's not the '50s anymore, Frank. The kids aren't bopping anymore. They're ______ before they hit grade school.",1
"It's terrible. There's no joy in ______; everyone loses.",1
"It's very European. Europe leads the way in ______, and quite frankly, I think it's time we caught up.",1
"It's ______. It's like ______ only it's longer, thicker and far more badass.",2
"Juarez, be easy. ______ is no more. Your life is no more. We are extreme. Like ______.",2
"Ladies and gentlemen, the ______ System is a comprehensive approach to ______ that I have perfected over the years.",2
"Lesson number one: ______ ain't everything. Lesson two: Do you own ______?",2
"Let me tell you something with absolute honesty and concern for your well-being. ______ would kick your ass.",1
"Let's play a drinking game. Name all 50 states, drink while you think. Go. Maine. New Hampshire. ______. Philly. ______. South Virginia. ______.",3
"Let's tell everybody Charlie knows that he got blown by ______. Then we'll throw him a little surprise party, celebrate the occasion.",1
"Look who it is, huh? The girl who ruined my life, by ______ with my best friend and having sex with ______.",2
"Look, bro, just 'cause you come in here with ______ and ______ doesn't mean you're devoted. It means you're a total poser.",2
"Look, every great crew in history has followed that basic dynamic, right? ______, ______, ______. Think about it.",3
"Look, here's the plan. You give us a shitload of money. We buy a shitload of ______.",1
"Look, I didn't go to Vietnam just to have pansies like you take ______ away from me.",1
"Look, I'm ready to blow my whistle here. I got a laundry list of corruption charges: Extortion, bribery, ______. This is nasty, heavy stuff.",1
"Look, I'm so confused. Why does she have ______ growing out of her neck?",1
"Look, man, I'm sorry to interrupt you, but if you're not too busy ______ or ______, you mind lighting my cigarette? Thanks, bro.",2
"Look, we don't normally do this, but I think I'm gonna need some proof that you're actually ______.",1
"Looking for a new hotspot to spot ______? Well Paddy's Irish Pub will plug that hole.",1
"Male, 30, looking for ______ type deal. Did ______ thing for past decade, looking for something new.",2
"Maybe we have 'a social responsibility' to provide ______ for these kids to be kids.",1
"Men and women ______ together is a proven system a thousand years old.",1
"Mountain, this is what it's all about. Me and my girl, side by side, ______, bringing in the dawn together.",1
"My nose was chiseled by ______ themselves, Frank. My body was sculpted to the proportions of ______. You, on the other hand, well you're ______.",3
"No, no, it's not gonna help. I'll tell you why. It doesn't 'un-bang' ______. No, you gotta do something worse. You're gonna have to bang ______.",2
"No. It's not sex I want from ______. It's sex I don't want from ______.",2
"Nobody's gonna bet on a guy named ______. He's gonna be a huge underdog.",1
"Now, keep in mind we've been locked in this parking garage stairwell for like 20 minutes, dude. Okay, so then we turn around and what do we see? ______!",1
"Now, you listen to me. Do not come back here without ______ up those asses! Okay?",1
"Oh my God, that is the cutest little baby I've ever seen. What's his name?",1
"Oh! I get it. Okay. We go buy ______. We tell you how much we spent, and you reimburse us. Great.",1
"Oh, look at me! The millionaire who goes to see ______!",1
"Oh, my God, dude. Are you still harping on that stupid ______ movie you saw?",1
"Oh, my God, how do ______ fit all this stuff into ______?! It doesn't make sense, man.",2
"Oh, not cool? Oh, I'll tell you what's not cool. Crashing ______ into a building, exploding a grenade inside of it and then ______.",2
"Oh, oh, no! My daddy's in prison! My daddy used to give ______ to prostitutes. Feel sorry for me!",1
"Oh, well, we got to suffer just because some old dude who looks like ______ chopped down a cherry tree, like, ten million years ago?",1
"Oh. So that's ______. You guys are losers.",1
"Okay, as you know, in the world of modeling, you're sometimes asked to model a theme. Today's theme is ______.",1
"Okay, guys, everybody calm down, please. This is not about ______. This is not about ______. This is about ______, okay?",3
"Okay, the cabana is assembled, the grill is as sparkling as we're gonna get it, ______ is open for business.",1
"Owning and knowing how to properly use ______ is an important part of what makes this country great.",1
"People abandon ______ all the time. It's a sad, throwaway culture we live in.",1
"People ______, that's funny!",1
"Remember the time you said you'd kiss him, if he ate ______? The guy eats the whole thing. Then she doesn't kiss him 'cause his breath smelled like ______.",2
"Revenge! We got you, suckers! Nobody messes with ______!",1
"Right right right...and you liberals are against ______ but you're for killing ______.",2
"See, that's what I thought. But then I realized if you think about it, ______ is the last true form of organic artistic expression.",1
"Sir, excuse me, sir. Hi, we are in desperate need of something that will destroy ______ and, uh, annihilate any traces of ______.",2
"So tell me, how do you two usually begin your lovemaking sessions?",1
"So ______ is wasting away, and we're gonna talk about ______ all morning. Great.",2
"So, if you like______ and you like ______, come on down to Paddy's Pub. We got 'em both.",2
"So, you think not ______ is putting on airs?",1
"So, you're not allowed ______, but abortions are no problem?",1
"Sweet baby, they are gonna eat you alive in Hollywood. You're definitely gonna end up ______.",1
"Take a look at Rex here. That is a body that just won't quit. I bet if you pop those pants off, you're gonna find ______ that just won't quit either.",1
"That lizard talks! Lizard, am I ______?",1
"That's a tough cat. It was born in a pool of gasoline, on a piece of rusty scrap metal. I've seen that cat ______. That cat is indestructible.",1
"That's Tammy, Trey's ex-girlfriend. This is classic Tammy. Trey broke up with Tammy because Maureen Kinallen said that she saw Tammy______ at a party.",1
"That's the way God works, 'cause God loves us. Trust in God, he'll give you ______.",1
"That, which you have just eaten, that, which your teeth have just torn apart. Your taste buds have savored, that was ______.",1
"The acid's making me feel like ______.",1
"The first step to any erotic conquest is ______.",1
"The first step to becoming an American: Get ______.",1
"The first thing I noticed about Paddy's Pub is its ______.",1
"The other thing I figured out is the only thing that attracts the attention of strippers more than pity is ______. And I brought a shitload of that.",1
"The police? The streets are flooded with ______ and you people are counting on the police?",1
"The problem is that every time ______ comes into a place like this it's always the biggest asshole that winds up ______.",2
"The problem with Germany is ______.",1
"The teams are already picked. You two have ______, and you have ______.",2
"There are plenty of sports that women can try out for. Like ______ and ______.",2
"There's no need to call the police, okay? Because the only crime that's being committed today is the crime of ______. And, sadly, you can't press charges for that.",1
"There's some sort of weird chemical reaction that happens when you combine ______, ______ and ______. It makes you feel, like, extremely sick and tired.",3
"These guys don't have technique. They get all cranked up like ______ and beat ______ out of each other.",2
"This is about dudes living together, ______, sharing their bed and their life.",1
"This is bullshit! You guys have two ______, and I don't even have one.",1
"This is how it's gonna go. I'm gonna jam ______ into your rectum. And then, woo! Like that, it's gonna expand in your colon, okay?",1
"This is Ken Jacobs coming to you from Market Street where two buses collided just minutes ago. We talked to one local resident who had this to say. '______.' Police are currently investigating the cause of the accident. Back to you, Jim.",1
"This is my new merchandising idea. It's a gun that shoots ______ into your mouth.",1
"This is the perfect opportunity to prove how hard we are and not shove ______ into our asses!",1
"We could take the ______ idea and the ______ idea, merge the two things.",2
"We don't want wild girls. We want ______ going wild. It's important to see the transition. You want to watch the process.",1
"We got ______, dude. Oh, man, the place is infested with them. Some guy brought them back from ______.",2
"We have so much in common, you're not gonna believe it. We both like ______. We both hate ______. And we both think ______ is gross.",3
"We know your kind. You big businesses going all over town swallowing up all the small guys. Well, guess what pal, ______ can't be bought.",1
"We will finally get to prove once and for all who's ______. ______ is the best way to settle that score.",2
"We're not ______, Frank, so just hold your horses on that one. If anything, we should be talking about ______.",2
"Welcome to ______, Juarez family! This is gonna be your home for the next couple of days. Hey, in order to assimilate you with American culture, we've decided to surround you with ______.",2
"Well, I could put the trash into ______, or I could burn it up and get a nice smokey smell in here and let that smoke go into the sky where it turns into ______.",2
"Well, sure, I pay the troll toll, and then I rape ______.",1
"What about you? What are your passions?",1
"What are you doing with my cat?",1
"What do I think my greatest strength as a server is?",1
"What does Frank need his toupee for?",1
"What gets more respect and admiration in this country than war heroes?",1
"What happened to this country?",1
"What happens if you accidentally hit a child with ______? In the eyes of the law that is child abuse. What happens then? In the eyes of the law, you have to give ______ to the parents of that child.",2
"What in God's name could possibly be down by the bridge?",1
"What is that a jar of? What is that a jar of, dude?",1
"What is the password?",1
"What part of, ""______"" don't you guys understand?",1
"What the hell are you reading?",1
"What up? We're three cool guys looking for ______ who want to hang out in our party mansion. Nothing sexual. ______ encouraged. If you're fat, you should be able to find humor in ______. Nothing sexual.",3
"What would Ty Pennington do?",1
"What's God's stance on ______?",1
"What's more sexual than a high-waisted thong riding high up a woman's backside?",1
"What's the best way to celebrate America?",1
"What's the hot plate for?",1
"What's the one major thing missing from all action movies these days?",1
"What's the one thing your mother loves more than anything in this world?",1
"What's up, bitches?",1
"What's your favorite hobby? ______. Alright, what are some of your likes? ______. Jesus Christ. What are your dislikes? ______.",3
"What? Do you really not wear condoms when you have sex with ______?",1
"What? I'm sorry. Did you say something about ______?",1
"When Dennis Reynolds was a counselor at Camp Cumberland he was sent home for the statutory rape of ______. Don't let him rape you, Philadelphia.",1
"Whenever there's a potential riot, I'm ______.",1
"Where are your balls, dude? Where are your balls?",1
"Where could Frank go to get mysterious meat?",1
"Why are your eyes all filled with blood?",1
"Why did I ever break up with you?",1
"Why is the government not providing us with ______? I mean, what is this, like some kind of socialist country or some kind of ______? This is insane, this is un-American.",2
"Why the hell did we drop a nuclear bomb on Japan?",1
"Why would you want to bang ______ at the funeral of ______?",2
"Why would you want to look like ______? Who are you trying to attract exactly? ______.",2
"Why'd you drag us to a place like this? It smells like ______.",1
"Yeah, I found out I might have ______. That's why I haven't been ______ recently.",2
"Yes, lady madam of the court, I do believe that this court will realize that we were all victims of ______ that caused each and every one of us great physical and emotional trauma.",1
"You do not get to taste ______ after making fun of it.",1
"You don't do that! You don't eat someone 'cause they don't have ______ in their ass!",1
"You don't have to join us, but if anyone asks you point-blank ______ got molested. Otherwise, we're talking conspiracy charges.",1
"You know, we got ourselves a little Mexican girl here, and I'm thinking what does a little Mexican girl love more than anything else in the world?",1
"You remember Genesis? Book 2, Verse 3: 'And He breatheth into the nostrils of ______ on the first day and it was good.'",1
"You wanna see ______ shake it? Of course you do. They all do.",1
"You want to talk about creepy? You guys ______ in your mom's basement. That's creepy.",1
"You're 33 years old. You're supposed to be sexually active. You're not supposed to be ______.",1
"You're a woman! Women can't do things like ______, you'll get hurt.",1
"You've got ______ crawling all over you, and ______ over here is the belle of the ball!",2
"______ do not abide by the laws of nature.",1
"______ don't mean shit out on the streets. Guys have ______.",2
"______ everywhere? Oh, shit, dude. I think you're in Charlie's bad room.",1
"______ has been oppressing people for years. It's about time we start doing a little oppressing ourselves.",1
"______ is bad for business.",1
"______ is going to bang your sister, bro.",1
"______ is just about the saddest thing you've ever done, Dee. Listen. If this is all about boosting your self-confidence, why don't you go out and bang ______ like you did in the good old days?",2
"______ is just one big ass blast.",1
"______ is power, Dee. Don't you get that? It's like a drug. Once you get a taste of it, you can never get enough.",1
"______ is the greatest way to make yourself feel better.",1
"______ keeps swooping in, ______ and locking me out of my apartment!",2
"______ love gambling.",1
"______ slept with your prom date!",1
"______ Vs. ______.",2
"______ was not part of our grift.",1
"______ will make the hardest man soft.",1
"______. Who likes that? Who finds that sexy?",1
"______: A National Concern.",1
