text,blanks
"Are you saying you wouldn't want to get onto Isla Sorna and study ______, if you had the chance?",1
"Daddy, daddy, this is a herbivore and that's ______.",1
"Don't go into ______!",1
"Dr Sattler, I refuse to believe that you aren't familiar with the concept of ______.",1
"Even Nedry knew better than to mess with ______.",1
"God creates dinosaurs. God destroys dinosaurs. God creates man. Man destroys god. Man creates ______.",1
"Hold on to your ______",1
"Life Finds ______",1
"Our lives are in your hands and you have ______!?!",1
"So much for our first tour; two no shows, one sick Triceratops and ______.",1
"T. rex doesn't want to be fed, he wants ______.",1
"This week, Dave Peters released a new paper claiming pterosaurs evolved from ______.",1
"What you call ______, I call.. The rape of the natural world.",1
"______ is the worst idea in the long, sad history of bad ideas, and I'm going to be there when you learn that.",1
