text,blanks
"All in all you're just ______. (Another Brick in the Wall - Pink Floyd)",1
"AND IIIIIIIIIIIII-EE-IIII... WILL ALWAYS LOVE ______. (I Will Always Love You - Whitney Houston)",1
"Beelzebub has a ______ set aside for me.",1
"Doctor, Doctor, give me the news! I got a bad case of ______. * (Bad Case of Loving You - Robert Palmer)",1
"Hey, little sister, what have you done? (White Wedding - Billy Idol)",1
"I chime in with a ""Haven't you people ever heard of ______?"" (I Write Sins, not Tragedies - Panic At The Disco)",1
"I just want your extra time and your (must make kissing noises)______ (Prince - Kiss)",1
"My anaconda don't want none unless you've got ______, hun. (Baby Got Back - Sir Mix-A-Lot)",1
"My mama she told me don't worry about your______. (Meghan Trainor - All About That Bass)",1
"Never gonna give ______ up, never gonna let ______ down. (Never Gonna Give You Up - Rick Astley)",2
"On a dark desert highway, ______ in my hair. Warm smell of ______ rising up through the air. (Hotel California - Eagles)",2
"Rah rah ah-ah-ah! Ro-ma ro-ma-ma! Gaga ooh-la-la! Want your ______. (Bad Romance - Lady Gaga)",1
"So you're ______? That don't impress me much.",1
"We built this city! We built this city on ______. (We Built This City - Starship)",1
"What does the Fox say? (What Does The Fox Say? - Ylvis)",1
"What is love? (What is Love? - Haddaway)",1
"Who are you? Who, who, who, who? (Who Are You? - The Who)",1
"You know it's true, everything I do... I do it for ______. (Everything I Do - Bryan Adams)",1
