text,blanks
"""Bravo 123"" ""123 go ahead"" ""We need back up, the patient is______""",1
"""I fell on it,"" said the patient with a/an______ stuck up his arse",1
"80yo female presents with a fractured hip after tripping over______.",1
"Can you tell me how you got this stab wound?",1
"Danger Response______ Breathing Circulation",1
"Doing acupuncture with Epinephrine needles.",1
"He seems to be suffering from a rare form of Chronic______ Syndrome",1
"I typed your symptoms into WebMD and it said you might have______.",1
"Paramedic PPE includes: Safety Glasses, Gloves and______.",1
"Seems that you have an allergic reaction to ______.",1
"Talk to your doctor if you have moderate to severe______",1
"The patient's Chief Complaint is______",1
"The tumour was likely caused by exposure to ______.",1
"Tim woke up in an ambulance; the last thing he remembers is______",1
"Upon a Head to Toe assessment the paramedic found the patient had______",1
"We found out what's causing you chest pain. We think it's a direct result of______.",1
"What do you see? (*Image of a Blood splatter*)",1
"______ a day keeps the doctor away",1
"______ is better than Chest Compressions",1
