text,blanks
"A boy's best friend is his ______.",1
"A census taker once tried to test me. I ate his liver with some fava beans and a nice ______.",1
"A martini. ______, not stirred.",1
"After all, tomorrow is another ______!",1
"All right, Mr. DeMille, I'm ready for my ______.",1
"As God is my witness, I'll never be ______ again.",1
"Attica! Attica! ______!",1
"Badges? We ain't got no badges! We don't need no badges! I don't have to show you any stinking ______!",1
"Bond. James ______ Bond.",1
"Carpe diem. Seize the day, boys. Make your lives ______.",1
"E.T. phone ______.",1
"Fasten your seatbelts. It's going to be a bumpy ______.",1
"Forget it, Jake, it's ______.",1
"Frankly, my dear, I don't give a ______.",1
"Gentlemen, you can't fight in here! This is the ______ Room!",1
"Go ahead, make my ______.",1
"Hasta la ______, baby.",1
"Hello, ______.",1
"Here's looking at ______, kid.",1
"Houston, we have a ______.",1
"I am big! It's the pictures that got ______.",1
"I have always depended on the kindness of ______.",1
"I have had it with these motherfucking ______ on/in this motherfucking ______",2
"I may be dumb, but I know what ______ is.",1
"I see ______ people.",1
"I want to be ______.",1
"I'm as mad as hell, and I'm not going to take this ______ anymore!",1
"I'm gonna make him an offer of ______ he can't refuse.",1
"I'm not a smart man... but I know what ______ is.",1
"I'm the king of the ______!",1
"I'm ______ here! I'm ______ here!",2
"I'll be ______.",1
"I'll get you, my pretty, and your little ______, too!",1
"I'll have ______ if that's she's having.",1
"If you build ______, he will come.",1
"Is ______ safe?",1
"It's alive! It's alive! In the name of ______!",1
"Life is a banquet, and most poor suckers are ______ to death!",1
"Listen to me, mister. You're my knight in shining armor. Don't you forget it. You're going to get back on that horse, and I'm going to be right behind you, holding on tight, and away we're gonna ______!",1
"Listen to them. Children of the ______. What music they make.",1
"Louis, I think this is the beginning of a beautiful ______.",1
"Love means never having to say you're ______.",1
"Made it, Ma! Top of the ______!",1
"May the Force be with ______.",1
"Mother of ______, is this the end of Rico?",1
"Mrs. Robinson, you're trying to seduce ______. Aren't you?",1
"My mama always said life was like a box of ______. You never know what you're gonna get.",1
"My mother ______ you. My father ______ you. My sister ______ you. And I ______ you.",4
"My precious ______.",1
"No wire ______, ever!",1
"Of all the gin joints in all the towns in all the world, she walks into ______.",1
"Oh, Jerry, don't let's ask for the moon. We have the ______.",1
"Oh, no, it wasn't the airplanes. It was ______ killed the Beast.",1
"One morning I shot an ______ in my pajamas. How he got in my pajamas, I don't know.",1
"Open the ______ bay doors, HAL.",1
"Play it, Sam. Play '______.'",1
"Round up the usual ______.",1
"Sawyer, you're going out a youngster, but you've got to come back a ______!",1
"Say ""hello"" to my little ______!",1
"Say ""______"" again!",1
"Shane. Shane. Come back you ______!",1
"Show me the ______!",1
"Snap out of ______!",1
"Soylent Green is ______!",1
"Stella! Hey, ______!",1
"Striker: Surely you can't be ______. Rumack: I am serious...and don't call me Shirley.",1
"Take your stinking paws off me, you damned dirty ______.",1
"Tell 'em to go out there with all they got and win just one for the ______.",1
"The stuff that ______are made of.",1
"There's no crying in ______ball!",1
"There's no place like ______.",1
"They call me Mister ______!",1
"Today, I consider myself the ______ iest man on the face of the earth.",1
"Toga! Toga! ______!",1
"Toto, I've a feeling we're not in ______ anymore.",1
"Wait a minute, wait a minute. You ain't heard ______ yet!",1
"We rob ______.",1
"Well, here's another nice mess you've gotten me into ______!",1
"Well, nobody's a perfect ______.",1
"What we've got here is failure to ______.",1
"Who's on first ______.",1
"Why don't you come up sometime and see ______?",1
"Yo, ______!",1
"You can't handle the ______!",1
"You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a ______, which is what I am.",1
"You had me at ""______.""",1
"You know how to whistle, don't you, Steve? You just put your lips together and ______.",1
"You talking to ______?",1
"You're gonna need a bigger ______.",1
"You've got to ask yourself one question: 'Do I feel ______?' Well, do ya, punk?",1
"______ motherfucker, do you speak it?!",1
"______ story. Outta nowhere. A former ______, now, about to become the Masters champion. It looks like a mirac...It's in the hole! It's in the hole! It's in the hole!",2
"______, for lack of a better word, is good.",1
"______, my dear Watson.",1
