text
"Al Pacino"
"Alan Arkin"
"Alec Guinness"
"Alllllllrighty then."
"Alright, alright, alright."
"AM I BEING DETAINED?!"
"Anthony Hopkins"
"Ben Kingsley"
"Benicio Del Toro"
"Bill Murray"
"Boo, you whore."
"Brad Pitt"
"Burt Lancaster"
"Buster Keaton"
"Cary Grant"
"Charles Chaplin"
"Charlton Heston"
"Chill Winston"
"Christoph Waltz"
"Christopher Plummer"
"Clark Gable"
"Clever girl"
"Clint Eastwood"
"Colin Firth"
"Daniel Day-Lewis"
"Denzel Washington"
"Did we just become best friends?"
"Don Cheadle"
"Dustin Hoffman"
"Ed Harris"
"Edward Norton"
"English motherfucker, do you speak it?!"
"F. Murray Abraham"
"Forest Whitaker"
"Game over man! Game over!"
"Gary Cooper"
"Gary Oldman"
"Gene Hackman"
"Gene Kelly"
"Geoffrey Rush"
"George C. Scott"
"Go back to your home on Whore Island!"
"Gregory Peck"
"Harrison Ford"
"Henry Fonda"
"Here's Johnny!"
"Hold on to your butts"
"Humphrey Bogart"
"I DON'T REMEMBER ASKING YOU A GOD DAMN THING!"
"I wasn't even supposed to be here today"
"Ian McKellen"
"Jack Lemmon"
"Jack Nicholson"
"James Cagney"
"James Dean"
"James Stewart"
"Jamie Foxx"
"Jason Robards"
"Javier Bardem"
"Jeff Bridges"
"Jeremy Irons"
"Joaquin Phoenix"
"Joe Pesci"
"John Hurt"
"John Huston"
"John Malkovich"
"Johnny Depp"
"Jon Voight"
"Kevin Kline"
"Kevin Spacey"
"Kevin, you are such a disease"
"Kirk Douglas"
"La-dee-da, la-dee-da."
"Laurence Olivier"
"Leonardo DiCaprio"
"Liam Neeson"
"Look at me. Look at me. I'm the Captain now."
"Marlon Brando"
"Martin Sheen"
"Matt Damon"
"Merry Christmas ya filthy animal"
"Michael Caine"
"Michael Douglas"
"Negative Ghost Rider, the pattern is full"
"Nobody makes me bleed my own blood...nobody!"
"Nobody tells me nuffin'."
"Orson Welles"
"Paul Newman"
"Peter Finch"
"Peter O'Toole"
"Peter Sellers"
"Philip Seymour Hoffman"
Plastics.
"Ralph Fiennes"
"Richard Burton"
"Robert De Niro"
"Robert Duvall"
"Robert Mitchum"
"Robert Redford"
"Robin Williams"
Rosebud.
"Russell Crowe"
"Sidney Poitier"
"Sixty percent of the time it works every time"
"So you're saying there's a chance"
"Spencer Tracy"
"Steve McQueen"
"That's a bingo..."
"The difference between you and me, is that I make this look good"
"The Greater Good"
"They're here!"
"This isn't where I parked my car."
"Tim Robbins"
"Tom Hanks"
"Tommy Lee Jones"
"What a dump."
"What's your damage, Heather?"
"William Holden"
"Woody Allen"
"You shut your whore mouth"
"YOU'RE AN INANIMATE FUCKING OBJECT"
