text,blanks
"All right guys, here's what we're going to do to win the race: first we're going to ______, then we ______, and finally we ______",3
"Before being known as ""The Intimidator"", Dale Earnhardt was known as ______",1
"Before it referred to a multi-car crash, ""The Big One"" was used to describe ______",1
"Before Sprint took over, the Winston Cup series was going to be called the ______ Cup Series.",1
"Before they changed sponsorship, the Sprint Cup was called the ______ Cup.",1
"Brian France announced a new wave of changes to NASCAR, telling drivers that to win the championship, they would have to ______",1
"Cars were overheating when ______ got stuck over their grill openings.",1
"Chad Knaus was suspended for four weeks for ______.",1
"Dale Earnhardt Jr.'s favorite Lynyrd Skynyrd song is ______.",1
"Dale Earnhardt lost this year's Daytona 500 because of ______.",1
"Dating Miss Sprint Cup has its perks; after every race, we sneak into Victory Lane and start ______",1
"Fans were shocked when Jeff Gordon announced that ______",1
"Glen ""Fireball"" Roberts wasn't the only unfortunate nickname; let's not forget about John ""______"" Smith.",1
"How does Carl Edwards stay in shape?",1
"Instead of ""The Chase"", NASCAR fans have started calling the championship ______.",1
"Instead of a trophy, the Sprint Cup Champion will now receive ______ and ______",2
"It came as a huge surprise when Dale Earnhardt Junior announced that he was a passionate follower of ______",1
"Jeremy Mayfield drove last Sunday's race under the influence of ______.",1
"Kurt Busch was caught on camera swearing at ______.",1
"NASCAR announced that the new broadcast team will consist solely of commentary by ______",1
"NASCAR has decided to replace the COT's wing with ______.",1
"Nobody knew about Dale Jarrett's secret double life as ______ until now.",1
"Performing today's invocation is ______.",1
"Richard Petty recently challenged Danica Patrick to a 1 on 1 competition involving ______",1
"Several drivers are considering running the Coca Cola 600 and ______ on the same day.",1
"The last thing I expected to see in the garage area was ______",1
"The latest NASCAR champion drove the ______ Chevrolet",1
"The opening ceremony for this year's Daytona 500 now includes ______",1
"The ______ 500 Presented by ______.",2
"Today's National Anthem will be performed by ______.",1
"Welcome back to the ______ 400, presented by ______.",2
"What happened to Jeff Gordon this week?",1
"What is Tony Stewart's favorite snack?",1
"What makes a true NASCAR fan?",1
"What's missing from every NASCAR race?",1
"What's worse than losing the Daytona 500?",1
"When he dies, NASCAR plans to honor Richard Petty with a tribute consisting primarily of ______",1
"Why are most of the drivers white men?",1
"Why did NASCAR ban beach balls from the grandstands?",1
"Why was Jeremy Mayfield suspended this time?",1
"______ + ______ with a touch of ______ = the only way to stop Jimmie Johnson",3
