text,blanks
"Christopher Daniels is late on his ______.",1
"Don't eat the ______.",1
"Genius is 10% inspiration, 90% ______.",1
"He did ______ with the ______!?!",2
"I'm cuckoo for ______ puffs.",1
"Instead of booking ______, they should have booked ______.",2
"Mastodon! Pterodactyl! Triceratops! Sabretooth Tiger! ______!",1
"Silly rabbit, ______ are for kids.",1
"SOOOOO hot, want to touch the ______.",1
"Stop looking at me ______!",1
"Tackle, Dropdown, ______.",1
"The best thing I ever got for Christmas was ______.",1
"There's no crying in ______.",1
"They found ______ in the dumpster behind ______.",2
"Tonights main event, ______ vs. ______.",2
"We got the third rope, now where's the fourth?",1
