text,blanks
"""Sailor, Tighten the sail! Turn to starbord! Grab the ______ """,1
"""Toes in the water. Ass in the sand. Not a worry in the world, A cold ______ in my hand.""",1
"20,000 leagues under the ______",1
"A green flash signals: ______",1
"Check out my beautiful boat I call it ______",1
"Damn the ______! FULL SPEED AHEAD!",1
"I created a knot for ______, I call it ______!",2
"In a recent study, scientists found ______ can prevent sea sickness",1
"Nothing shivers my timbers quite like ______",1
"Red sky at morning, sailors take warning. Red sky at night ______",1
"Sir the boats radar just detected a ______!",1
"Stranded on a desert island I will survive with ______ And, ______",2
"The name of my new ship",1
"The next Pirates of the Caribbean film will feature CAPTAIN Jack Sparrow and ______.",1
"Today's forecast calls for ______ with a chance of ______.",2
"We're going to need a bigger ______",1
"What does Davy Jones keep in his locker?",1
"While stranded on Gilligan's Island, the Professor made a functioning radio out of a coconut, ______ and ______. (D1P2)",2
"Why did I walk the plank",1
"Why's the rum gone?",1
"______ a navigational necessity",1
"______ Georgia's Newest aquarium exhibit!",1
"______ is known to prevent pirates from boarding a ship",1
"______, Truly Blackbeard's Delight",1
"______, why the boat sank",1
