text,blanks
"""Are you classified as human?""  ""Negative, I am ______.""",1
"An online quiz told me I am ______.",1
"As social outcasts, we're accepting of everyone, unless you're into ______.",1
"Band camp? Psh! I went to ______ camp!",1
"Believe it or not, there are people who think the Internet is ______.",1
"Coming soon to a theater near you: Johnny Depp in Tim Burton's ______.",1
"Cosplay just isn't cosplay if it doesn't involve ______. What is the Force?",1
"Damn it, Jim! I'm ______, not ______!",2
"Everything I ever needed to know I learned by watching ______.",1
"First hipsters stole our glasses, next they'll take ______.",1
"First we lost power to the engines, then we lost ______.",1
"Given enough time, even the best TV shows will resort to ______.",1
"Good morning, I see my ______ has/have failed.",1
Hodor?,1
"Hokey religions and ancient weapons are no match for ______.",1
"How did I lose all my Facebook friends?",1
"I can't believe they approved my doctoral dissertation on ______.",1
"I filled my hard drive with pictures of ______.",1
"I had no idea demon hunting would involve so much ______.",1
"I made fun of Aquaman until I found out he was ______.",1
"I may not be great at sports, but I am amazing at ______.",1
"I missed most of my senior year with a bad case of ______.",1
"I once played an invincible Mage who could only be killed by ______.",1
"I only seem socially awkward because of ______.",1
"I should have known better than to engineer ______.",1
"I still would be a virgin if it weren't for ______.",1
"I suspected the mayor might be evil, but I wasn't sure until he turned into ______.",1
"I swear by ______, I will end you.",1
"I thought I'd seen everything, until the aliens showed us ______.",1
"I was sent to the school psychologist because I wrote a paper about ______.",1
"I won't be bullied again, now that I have ______.",1
"I'm allergic to ______. I'm a Hufflepuff!",1
"I'm getting sick of having to explain ______.",1
"I'm not a violent person, but I will throw down if you badmouth ______.",1
"I'll start doing sports as soon as ______ is considered a sport.",1
"I've seen the best minds of my generation destroyed by ______.",1
"If Science Fiction has taught me anything, it's never trust ______.",1
"In our last campaign, our Dungeon Master put ______ inside a gelatinous cube.",1
"In space, no one can hear ______.",1
"In the 24th century, all spacecraft will be equipped with ______.",1
"In the next movie, for a change, Kirk will have sex with ______.",1
"In the next Thor movie, they go to the little-talked-about realm, ______-gard.",1
"Intergalactic diplomacy only goes so far. Sometimes you have to use ______.",1
"Kinetic energy is best described as ______.",1
"Kneel before ______!",1
"Lonely nerds: Be lonely no longer, thanks to ______!",1
"Mangalores won't fight without ______.",1
"My new LARP character is as smart as ______ and as charming as ______.",2
"My next project will be a 1/6 scale model of ______.",1
"My senior year, I wrote ""______""  in everybody else's yearbooks.",1
"No one believes I'm really allergic to ______.",1
"Now its' time for Korben to say the word of the day.",1
"Oh my God, Karen, you can't just ask people why they're ______.",1
"Older nerds spend most of their time on ______.",1
"Our Brave hero is saved by a deus ex machina, in the form of ______.",1
"Our only real barrier to interstellar space travel is ______.",1
"Resistance is ______.",1
"Rule 34 is always true, no exceptions, not even for ______.",1
"She's a witch! She turned me into ______!",1
"Taylor Lautner only did the Twilight movies so we would forget about ______.",1
"That's it! I'm canceling my Netflix subscription. There's too much ______, and not enough ______.",2
"That's no moon; its' ______.",1
"The ability to destroy a planet is insignificant next to ______.",1
"The best thing about getting a new computer is ______.",1
"The best/worst thing about Tumblr is ______.",1
"The best/worst thing about your friend's homebrew game system is ______.",1
"The Captain's last words were: ______.",1
"The girls/boys will come running when they realize I have ______.",1
"The internet is for ______.",1
"The last time I ran a LARP, I killed five characters with ______",1
"The last time I was away, my coworkers filled my office with ______.",1
"The next hit YA series features a teenage girl who gets involved with ______.",1
"The Sworn Brothers of the Wall really like ______.",1
"The week on Mythbusters: Does ______ really lead to ______.",2
"The worst injustice in the history of cinema was ______.",1
"There is no Dana, only ______.",1
"TK-421, why aren't you at your post?",1
"Tonight on Mythbusters we tackle the bid one...",1
"We all know Jubilee is pointless, but the worst mutant is actually ______",1
"We are The Knights Who Say ______.",1
"We'll be the first historical reenactment group to reenact ______.",1
"What did I get my ass kicked for in school?",1
"What did MacGuyver use to defuse the bomb?",1
"What did you do, Ray?",1
"What do you get when you multiply six by nine?",1
"What does ""ecto gammat""  mean?",1
"What is thy bidding, my master?",1
"What is your biggest nerd pet peeve?",1
"What is your quest?",1
"What would you use a time machine for?",1
"What's in the box?",1
"What's the worst thing nerds have to deal with?",1
"What's with all the carrots? What do bunnies need such good eyesight for anyway?",1
"Whatever you do, don't ever, EVER read ______.",1
"When I added these smuggling compartments, I never thought I'd be smuggling ______.",1
"When I was vying for the Iron Throne, I didn't know it would involve ______.",1
"Whit great power comes ______.",1
"Who's scruffy looking?",1
"Why am I drippings with goo?",1
"Why did it have to be snakes?",1
"Why doesn't Hollywood understand how computers work?",1
"You dawg, we heard you like ______, so we put some ______ in your ______. (All the same card)",3
"You must be truly desperate to come to ______ for help.",1
"You need to read my new fanfic! It's about ______.",1
"You should know, nerds are ______ in the streets, but ______ in the sheets.",2
"You think you're upset now? Wait until Ben Affleck is cast to play ______.",1
"You won't believe what came through the wormhole...",1
"You wouldn't be so brave if you'd ever smelled the Bog of Eternal ______.",1
"You'd be surprised by how much overlap there is in the Venn dieagram of ______ and ______.",2
"You're rolling up a new character. You put the most points into ______.",1
"Your mother was a hamster, and your father smelt of ______.",1
"______ / ______ slash fiction.",2
"______, does exactly what it says on the tin.",1
"______, still a better love story than Twilight.",1
"______? ______? A Jedi craves not these things.",2
