text,blanks
"I'd like to see ______ on ______",2
"If I had for ______ every time I ______ i'd be ______",3
"If it werent for ______ where would we be? We'd be ______",2
"Maori's are good at 2 things: ______ and ______",2
"Nek ______ minnit...______",2
"The best thing the white man bought to New Zealand is ______",1
"There are too many ______ in this country, what we need is ______",2
"______ will be the next thing those Aussies' steal from us.",1
"______, Paid for by your tax dollars, bought to you by NZ on Air.",1
"______? Yeah right.",1
