text,blanks
"""Hey everybody and welcome to Let's Look At ______!""",1
"After Mars, ______ is the next furthest planet from the sun.",1
"After winning yet another race, Josh made ______ tweet about ______.",2
"And now we're going to be fighting ______ on ______.",2
"As always, I will ______ you next time!",1
"Best game of 2013? ______, of course.",1
"But that ______ has sailed.",1
"Dang it, ______!",1
"Even ______ is/are better at video games than Northernlion.",1
"Everything's coming up ______.",1
"Finding something like ______ would turn this run around.",1
"Follow MichaelALFox on Twitter and you can see pictures of ______.",1
"Fox would still be here if not for ______.",1
"Fuck the haters, this is ______.",1
"Get in my ______ zone.",1
"Green loves the new Paranautical Activity item ______, but keeps comparing it to the crossbow.",1
"Hello anybody, I am ______Patrol.",1
"Hello everybody, welcome to a new episode of ______ plays ______.",2
"How did Northernlion unite Scotland?______,",1
"How do you get your dog to stop humping your leg?______,",1
"I beat Blue Baby with only ______ and ______!",2
"I can do ______ and die immediately afterward.",1
"I don't even see ______ anymore; all I see are blondes, brunettes, redheads...",1
"I have ______, can you ______ me?",2
"I wasn't even that drunk! I just had some ______, ______, and ______.",3
"I'm in the permanent ______ state.",1
"I'd sacrifice ______ at the Altar.",1
"If sloth ______ are wrong I don'&trade;t want to be right.",1
"Invaded the world of ______.",1
"It's true that Green9090 is ______, but we must all admit that Ohm is better at ______",2
"It's ______, ya dangus!",1
"JSmithOTI is referred to as a Scumlord, but his friends call him ______.",1
"JSmithOTI: Total ______.",1
"Krazy Mike lost to ______!",1
"Legend has it, the Thug of Porn was arrested for ______.",1
"Let's Look At: ______.",1
"More like the Duke of ______, right?",1
"My apologies to the ______ estate.",1
"My channel is youtube.com/______.",1
"My name is ______ and today we'll be checking out ______.",2
"No one man should have all that ______.",1
"Northernlion always forgets the name of ______.",1
"Northernlion has alienated fans of ______ by calling them ______.",2
"Northernlion has been facing ridicule for calling ______ a rogue-like.",1
"Northernlion was fired from his teaching job and had to flee South Korea after an incident involving ______ and ______.",2
"Northernlion's cat Ryuka is known for ______ while he records.",1
"Northernlion's doctor diagnosed him today with ______, an unfortunate condition that would lead to ______.",2
"Northernlion's latest novelty Twitter account is @______.",1
"Northernlion's refusal to Let's Play ______ was probably a good call.",1
"Of all the things that Ryan and Josh have in common, they bond together through their mutual love of ______.",1
"Oh god, I can't believe we ate ______ at PAX.",1
"Oh my god, he's using ______ magic!",1
"Ohmwrecker is known for his MLG online play. What people don't know is that he's also MLG at ______.",1
"On its last dying breath, ______ sent out a cry for help. A bunch of ______ heard the cry.",2
"One thing Northernlion was right about was ______.",1
"Only in Korea can you see ______.",1
"Pimp your ______!",1
"Praise the ______!",1
"Recently, Northernlion has felt woefully insecure due to ______.",1
"Roguelike? How about ______-like.",1
"Say that to my face one more time and I'll start ______.",1
"Sometimes, a man's just gotta ______.",1
"That's the way ______ did it, that's the way ______ does it, and it''s worked out pretty well so far.",2
"The hero of the stream was ______.",1
"The Holy Trinity: ______, ______, and ______!",3
"The next movie reading will be of ______.",1
"The only way NL is ever going to make it to Hell in Spelunky is by using ______.",1
"The stream broke when Ryuka stepped on the ______ key.",1
"The stream was going well until ______.",1
"The Youtube chat proved ineffective, so instead we had to communicate via ______.",1
"This new game is an interesting ______-like-like.",1
"This time on ______ vs. ______, we're playing ______.",3
"Today on Crusader Kings 2, NL plays King ______ the ______.",2
"Today's trivia topic is ______.",1
"Travel by ______.",1
"We're having technical difficulties due to ______.",1
"We're rolling in ______!",1
"Welcome back to The Binding of Isaac. Today's challenge run will be based on ______.",1
"Well there's nothing wrong with ______ by any stretch of the imagination.",1
"What do you give to the CEO of Youtube as a gift?______,",1
"What gave Ohmwrecker his gaming powers?______,",1
"What interrupted the #NLSS?______,",1
"What would Ohm do?______,",1
"What would you do if Ohm really did just die?______,",1
"When I was a kid, all we had in Lunchables were three ______ and ______.",2
"Whenever I ______, take a drink.",1
"______ caused Northernlion to take stupid damage.",1
"______ has invaded!",1
"______ is really essential to completing the game.",1
"______ Is the best item in The Binding of Isaac.",1
"______ is the worst item in The Binding of Isaac.",1
"______ is/are Northernlion's worst nightmare.",1
"______ sounds like a great alternative rock band.",1
"______ was full of leeches.",1
"______ was indicted on account of ______.",2
"______! Get off the ______!",2
"______. Everything else is uncivilized.",1
"______: The Northernlion Story.",1
"______: The ______ Story.",2
"______? It's a DLC item.",1
"______? Well, I won't look a gift horse in the mouth on that one.",1
