text,blanks
"And David brought their foreskins, which were given in full number to the king, that he might become ______. (1 Samuel 18:27)",1
"And God said, ''Let there be ______,'' and there was ______. (Genesis 1:3)",2
"And he too stripped off his clothes, ______ and lay naked all that day. (1 Samuel 19:24)",1
"And I ______ and cursed them and beat some of them and pulled out their hair. (Nehemiah 13:25)",1
"And seven women shall ______. (Isaiah 4:1)",1
"And the Babylonians came to her into the bed of love, and they defiled her with ______. (Ezekiel 23:17)",1
"And the LORD sent an angel, who cut off all the mighty warriors and ______. (2 Chronicles 32:21)",1
"And the priest shall bring ______ to the altar and ______. (Leviticus 1:15)",2
"And ______ went in and lay with ______. (Genesis 19:33)",2
"Be fruitful and ______. (Genesis 9:1)",1
"Behold, I cast out demons and perform cures today and tomorrow, and the third day I ______. (Luke 13:32)",1
"Blessed are ______, for theirs is ______. (Matthew 5:3)",2
"Do not withhold discipline from a child; if you strike him with ______, he will not die. (Proverbs 23:13)",1
"Here are my virgin daughter and ______. Let me bring them out now. Violate them and do with them what seems good to you. (Judges 19:24)",1
"I have not come to bring peace, but ______. (Matthew 10:34)",1
"In the beginning, God created ______. (Genesis 1:1)",1
"Let beautiful young virgins be sought out for ______. (Esther 2:2)",1
"Let him who is without ______ among you be the first to throw a stone at her. (John 8:7)",1
"Let me get wine, let us fill ourselves with strong drink; and tomorrow ______. (Isaiah 56:12)",1
"My father disciplined you with whips, but I will discipline you with ______. (2 Chronicles 10:11)",1
"No one whose testicles are crushed or whose male organ is cut off shall ______. (Deuteronomy 23:1)",1
"O LORD, God of our fathers, are you not God in heaven? You rule over ______. (2 Chronicles 20:6)",1
"Take a large tablet and write on it in common characters, ``______''. (Isaiah 8:1)",1
"The dead bodies of men shall fall like dung upon ______. (Jeremiah 9:22)",1
"The king desires no bride-price except ______. (1 Samuel 18:25)",1
"The Lord Jesus will kill with the breath of his mouth and ______. (2 Thessalonians 2:8)",1
"They will call upon my name, and I will ______. (Zechariah 13:9)",1
"When she carried on her whoring so openly and flaunted her nakedness, I ______. (Ezekiel 23:18)",1
"Wives, submit to ______, as is fitting in the Lord. (Colossians 3:18)",1
"You shall not ______. (Deuteronomy 5:17)",1
"Your hands fashioned and made me, and now you have ______. (Job 10:8)",1
"______. Praise the LORD! (Psalms 150:6)",1
