text,blanks
"A dishonest man you can always trust to be ______.",1
"Do what you want because a ______ is free, you are a ______!",2
"I make it a point of avoiding ______.",1
"I think it's time we embrace that oldest and noblest of pirate traditions: ______.",1
"I'd rather see her ______ than in the hands of a pirate.",1
"It had been strange, even in a dream, to see ______.",1
"Keep circulating the ______",1
"Perhaps on the rare occasion pursuing the right course demands ______, ______ can be the right course.",2
"the deepest circle of hell is reserved for ______ and ______.",2
"The Pirate Party is currently hoping to win seats in the European Parliament with their support for ______.",1
"the secret, grand adventure of the infamous Jack Sparrow: ______",1
"What vexes all men?",1
"You wouldn't download a ______",1
"You're off the edge of the map, mate. here there be ______.",1
"______ is neither proper nor suitable, sir.",1
