text,blanks
"After getting wasted at PAX, Burnie announced that ""I am ______!""",1
"Barbara sucks ______.",1
"Close up of my ______.",1
"Come to Fort ______!",1
"Describe yourself in one word/phrase. ______",1
"Detective ______ is down!",1
"Does our house say ""We love ______?""",1
"Dude, I got sixteen ______!",1
"Fight, fight, fight, ______?",1
"Fuck it, I mean ______, right?",1
"I'ma smother you in my ______!",1
"If Jack was frog and you kissed him, what would he turn into? ______",1
"If you could fuck anyone in the world, who would you choose? ______",1
"If you could have any superpower, what would it be? ______",1
"If you got $1,000,000 per week, would you ______, but in the next day, you'd have to ______?",2
"If you were allowed to do one illegal thing, what would it be? ______",1
"It's a ______ out there.",1
"It's not my fault. Somebody put ______ in my way.",1
"Joel plays ______.",1
"Let's do ______ again! This is fun!",1
"Lindsay could fuck up ______.",1
"LLLLLLLLLLLLLET'S ______!",1
"My name is ______, and I hate ______!",2
"My ______ is trying to die.",1
"No one in the office expected the bromance between ______ and ______.",2
"On tonight's Let's Play, the AH crew plays ______.",1
"People like ______.",1
"RT Recap, featuring ______!",1
"Select two cards to create your team name. ______, ______",2
"Shout out to my mom. Called my Teddy Bear ______.",1
"Shout out to ______!",1
"So, I was just walking along, until suddenly ______ came along and attacked me.",1
"Thanks to ______ for this week's theme song.",1
"The next RvB cameo will be voiced by ______.",1
"The war's over. We're holding a parade in ______'s honor. ______ drives the float, and ______ is in charge of confetti.",3
"They questioned Ryan's sanity after finding ______ in his house.",1
"This week on AHWU, ______.",1
"This week on Immersion, we are going to test ______.",1
"This week on VS, ______ challenges ______ to a game of ______.",3
"What are fire hydrants called in England? ______",1
"What does Ryan's kid listen to? ______",1
"What is Game Night? ______",1
"What is the meaning of life? ______",1
"What is the saddest thing you've ever seen? ______",1
"What is the worst thing anyone could say in front of the police? ______",1
"What is your biggest feature? ______",1
"What is your favorite book? ______",1
"What is your mating call? ______",1
"What makes Caboose angry? ______",1
"What makes Michael the angriest? ______",1
"What mysteries lie beyond Jack's beard? ______",1
"What would be your chosen catchphrase? ______",1
"What's in Gavin's desk? ______",1
"Where are we going for lunch? ______",1
"Where does Ray belong? ______",1
"Who has a fake Internet girlfriend? ______",1
"Why are there six ______ when there are only four ______?",2
"Why are we here? ______",1
"Why is Geoff cool? ______",1
"Why was Michael screaming at Gavin? ______",1
"Would you guys still like me if my name was ______?",1
"You threw it against the wall like a ______!",1
"______ is probably a Venusaur kind of guy.",1
"______ is the best ______ ever. Of all time.",2
"______ is the greatest Canadian.",1
"______ is the worst on the Podcast.",1
"______ is ______ as dicks.",2
"______ wins! ______ is a horse!",2
"______. That's top.",1
