text,blanks
"A woman charges into battle with weapon drawn while the guards sit back and ______.",1
"All the ______ shall fear the ______",2
"Another adventurer, here to lick my father's ______. Good job.",1
"Boys, ______,______, ______. There's nobody I won't fight!",3
"Come to Dragonsreach to discuss the ______ like the rest of the great warriors?",1
"Dragon born huh? Was it your ______ or your ______that was the dragon?",2
"Either you're ______ or I'm ______. Maybe both.",2
"Father says I'm too young to train with a sword, so I practice with my ______.",1
"I am sworn to carry your ______.",1
"I help my ______ in more ways than people realize.",1
"I hope you get ______ by a ______",2
"I used to be an adventurer like you until I took an arrow in the ______.",1
"I would be honored if you would use the ______ on me.",1
"Let me guess, someone stole your ______.",1
"My cousins out fighting dragons and what do I get? ______.",1
"Nords' armor has lots of ______. This sometimes makes M'aiq nervous.",1
"You know what we call people who mess with us? ______.",1
"You started this ______ and plunged Skyrim into chaos, now the empire is going to ______ you down!",2
"You want knives? You want them in your belly? No? Then you stop talking to ______!",1
"You'll see, it was a dragon! It'll ______ us all and then you'll believe me!",1
